fixtureId,countyId,countyName,countyFips,community,communityIdentity,queryClass,privacyClass,queryVariantClass,query,expectedResolutionClass,expectedCounty,expectedLocality,expectedExactness,providerAttempted,providerSucceeded,providerResultClass,selectedResultClass,identityAgreement,countyAgreement,localityAgreement,coordinateValidity,precisionClass,rendered,selectable,markerCreated,routeHandoffEligible,failureTruthful,notes
"LP241-TX-48001-01","anderson","","48001","null","null","PUBLIC_FACILITY","PUBLIC_GOVERNMENT_FACILITY","COUNTY_ROAD_SPELLED_OUT"," County Courthouse, Texas","EXACT_OR_ACCEPTABLE_APPROXIMATE","","null","PUBLIC_POI_NOT_RESIDENTIAL_EXACTNESS","null","null","null","null","null","null","null","null","null","null","null","null","null","null","PLAN ONLY — execute in an approved owner browser; no private address and no runtime result claimed."
"LP241-TX-48003-01","andrews","","48003","null","null","COUNTY_ROAD","PUBLIC_GOVERNMENT_FACILITY","CR_ABBREVIATED"," County Courthouse, Texas","EXACT_OR_ACCEPTABLE_APPROXIMATE","","null","PUBLIC_POI_NOT_RESIDENTIAL_EXACTNESS","null","null","null","null","null","null","null","null","null","null","null","null","null","null","PLAN ONLY — execute in an approved owner browser; no private address and no runtime result claimed."
"LP241-TX-48005-01","angelina","","48005","null","null","CR_ABBREVIATION","PUBLIC_GOVERNMENT_FACILITY","FM_RM"," County Courthouse, Texas","EXACT_OR_ACCEPTABLE_APPROXIMATE","","null","PUBLIC_POI_NOT_RESIDENTIAL_EXACTNESS","null","null","null","null","null","null","null","null","null","null","null","null","null","null","PLAN ONLY — execute in an approved owner browser; no private address and no runtime result claimed."
"LP241-TX-48007-01","aransas","","48007","null","null","FM_RM_ROAD","PUBLIC_GOVERNMENT_FACILITY","SH_US"," County Courthouse, Texas","EXACT_OR_ACCEPTABLE_APPROXIMATE","","null","PUBLIC_POI_NOT_RESIDENTIAL_EXACTNESS","null","null","null","null","null","null","null","null","null","null","null","null","null","null","PLAN ONLY — execute in an approved owner browser; no private address and no runtime result claimed."
"LP241-TX-48009-01","archer","","48009","null","null","SH_US_HIGHWAY","PUBLIC_GOVERNMENT_FACILITY","ZIP_INCLUDED"," County Courthouse, Texas","EXACT_OR_ACCEPTABLE_APPROXIMATE","","null","PUBLIC_POI_NOT_RESIDENTIAL_EXACTNESS","null","null","null","null","null","null","null","null","null","null","null","null","null","null","PLAN ONLY — execute in an approved owner browser; no private address and no runtime result claimed."
"LP241-TX-48011-01","armstrong","","48011","null","null","ZIP_QUALIFIED","PUBLIC_GOVERNMENT_FACILITY","CITY_INCLUDED"," County Courthouse, Texas","EXACT_OR_ACCEPTABLE_APPROXIMATE","","null","PUBLIC_POI_NOT_RESIDENTIAL_EXACTNESS","null","null","null","null","null","null","null","null","null","null","null","null","null","null","PLAN ONLY — execute in an approved owner browser; no private address and no runtime result claimed."
"LP241-TX-48013-01","atascosa","","48013","null","null","CITY_QUALIFIED","PUBLIC_GOVERNMENT_FACILITY","PLAIN"," County Courthouse, Texas","EXACT_OR_ACCEPTABLE_APPROXIMATE","","null","PUBLIC_POI_NOT_RESIDENTIAL_EXACTNESS","null","null","null","null","null","null","null","null","null","null","null","null","null","null","PLAN ONLY — execute in an approved owner browser; no private address and no runtime result claimed."
"LP241-TX-48015-01","austin","","48015","null","null","BUSINESS_POI","PUBLIC_GOVERNMENT_FACILITY","INTENTIONAL_TYPO"," County Courthouse, Texas","EXACT_OR_ACCEPTABLE_APPROXIMATE","","null","PUBLIC_POI_NOT_RESIDENTIAL_EXACTNESS","null","null","null","null","null","null","null","null","null","null","null","null","null","null","PLAN ONLY — execute in an approved owner browser; no private address and no runtime result claimed."
"LP241-TX-48017-01","bailey","","48017","null","null","ROAD_ONLY","PUBLIC_GOVERNMENT_FACILITY","COUNTY_ROAD_SPELLED_OUT"," County Courthouse, Texas","EXACT_OR_ACCEPTABLE_APPROXIMATE","","null","PUBLIC_POI_NOT_RESIDENTIAL_EXACTNESS","null","null","null","null","null","null","null","null","null","null","null","null","null","null","PLAN ONLY — execute in an approved owner browser; no private address and no runtime result claimed."
"LP241-TX-48019-01","bandera","","48019","null","null","SYNTHETIC_NO_RESULT","SYNTHETIC_NEGATIVE","CR_ABBREVIATED","Nonexistent LP241 Test Road,  County, Texas","TRUTHFUL_NO_RESULT","","null","NO_RESULT","null","null","null","null","null","null","null","null","null","null","null","null","null","null","PLAN ONLY — execute in an approved owner browser; no private address and no runtime result claimed."
"LP241-TX-48021-01","bastrop","","48021","null","null","TYPO_NORMALIZATION","PUBLIC_GOVERNMENT_FACILITY","FM_RM"," County Courthouse, Texas","EXACT_OR_ACCEPTABLE_APPROXIMATE","","null","PUBLIC_POI_NOT_RESIDENTIAL_EXACTNESS","null","null","null","null","null","null","null","null","null","null","null","null","null","null","PLAN ONLY — execute in an approved owner browser; no private address and no runtime result claimed."
"LP241-TX-48023-01","baylor","","48023","null","null","BOUNDARY_SENSITIVE","PUBLIC_GOVERNMENT_FACILITY","SH_US"," County Courthouse, Texas","EXACT_OR_ACCEPTABLE_APPROXIMATE","","null","PUBLIC_POI_NOT_RESIDENTIAL_EXACTNESS","null","null","null","null","null","null","null","null","null","null","null","null","null","null","PLAN ONLY — execute in an approved owner browser; no private address and no runtime result claimed."
"LP241-TX-48025-01","bee","","48025","null","null","UNINCORPORATED","PUBLIC_GOVERNMENT_FACILITY","ZIP_INCLUDED"," County Courthouse, Texas","EXACT_OR_ACCEPTABLE_APPROXIMATE","","null","PUBLIC_POI_NOT_RESIDENTIAL_EXACTNESS","null","null","null","null","null","null","null","null","null","null","null","null","null","null","PLAN ONLY — execute in an approved owner browser; no private address and no runtime result claimed."
"LP241-TX-48027-01","bell","","48027","null","null","COMMON_STREET","PUBLIC_GOVERNMENT_FACILITY","CITY_INCLUDED"," County Courthouse, Texas","EXACT_OR_ACCEPTABLE_APPROXIMATE","","null","PUBLIC_POI_NOT_RESIDENTIAL_EXACTNESS","null","null","null","null","null","null","null","null","null","null","null","null","null","null","PLAN ONLY — execute in an approved owner browser; no private address and no runtime result claimed."
"LP241-TX-48029-01","bexar","","48029","null","null","PUBLIC_FACILITY","PUBLIC_GOVERNMENT_FACILITY","PLAIN"," County Courthouse, Texas","EXACT_OR_ACCEPTABLE_APPROXIMATE","","null","PUBLIC_POI_NOT_RESIDENTIAL_EXACTNESS","null","null","null","null","null","null","null","null","null","null","null","null","null","null","PLAN ONLY — execute in an approved owner browser; no private address and no runtime result claimed."
"LP241-TX-48031-01","blanco","","48031","null","null","COUNTY_ROAD","PUBLIC_GOVERNMENT_FACILITY","INTENTIONAL_TYPO"," County Courthouse, Texas","EXACT_OR_ACCEPTABLE_APPROXIMATE","","null","PUBLIC_POI_NOT_RESIDENTIAL_EXACTNESS","null","null","null","null","null","null","null","null","null","null","null","null","null","null","PLAN ONLY — execute in an approved owner browser; no private address and no runtime result claimed."
"LP241-TX-48033-01","borden","","48033","null","null","CR_ABBREVIATION","PUBLIC_GOVERNMENT_FACILITY","COUNTY_ROAD_SPELLED_OUT"," County Courthouse, Texas","EXACT_OR_ACCEPTABLE_APPROXIMATE","","null","PUBLIC_POI_NOT_RESIDENTIAL_EXACTNESS","null","null","null","null","null","null","null","null","null","null","null","null","null","null","PLAN ONLY — execute in an approved owner browser; no private address and no runtime result claimed."
"LP241-TX-48035-01","bosque","","48035","null","null","FM_RM_ROAD","PUBLIC_GOVERNMENT_FACILITY","CR_ABBREVIATED"," County Courthouse, Texas","EXACT_OR_ACCEPTABLE_APPROXIMATE","","null","PUBLIC_POI_NOT_RESIDENTIAL_EXACTNESS","null","null","null","null","null","null","null","null","null","null","null","null","null","null","PLAN ONLY — execute in an approved owner browser; no private address and no runtime result claimed."
"LP241-TX-48037-01","bowie","","48037","null","null","SH_US_HIGHWAY","PUBLIC_GOVERNMENT_FACILITY","FM_RM"," County Courthouse, Texas","EXACT_OR_ACCEPTABLE_APPROXIMATE","","null","PUBLIC_POI_NOT_RESIDENTIAL_EXACTNESS","null","null","null","null","null","null","null","null","null","null","null","null","null","null","PLAN ONLY — execute in an approved owner browser; no private address and no runtime result claimed."
"LP241-TX-48039-01","brazoria","","48039","null","null","ZIP_QUALIFIED","PUBLIC_GOVERNMENT_FACILITY","SH_US"," County Courthouse, Texas","EXACT_OR_ACCEPTABLE_APPROXIMATE","","null","PUBLIC_POI_NOT_RESIDENTIAL_EXACTNESS","null","null","null","null","null","null","null","null","null","null","null","null","null","null","PLAN ONLY — execute in an approved owner browser; no private address and no runtime result claimed."
"LP241-TX-48041-01","brazos","","48041","null","null","CITY_QUALIFIED","PUBLIC_GOVERNMENT_FACILITY","ZIP_INCLUDED"," County Courthouse, Texas","EXACT_OR_ACCEPTABLE_APPROXIMATE","","null","PUBLIC_POI_NOT_RESIDENTIAL_EXACTNESS","null","null","null","null","null","null","null","null","null","null","null","null","null","null","PLAN ONLY — execute in an approved owner browser; no private address and no runtime result claimed."
"LP241-TX-48043-01","brewster","","48043","null","null","BUSINESS_POI","PUBLIC_GOVERNMENT_FACILITY","CITY_INCLUDED"," County Courthouse, Texas","EXACT_OR_ACCEPTABLE_APPROXIMATE","","null","PUBLIC_POI_NOT_RESIDENTIAL_EXACTNESS","null","null","null","null","null","null","null","null","null","null","null","null","null","null","PLAN ONLY — execute in an approved owner browser; no private address and no runtime result claimed."
"LP241-TX-48045-01","briscoe","","48045","null","null","ROAD_ONLY","PUBLIC_GOVERNMENT_FACILITY","PLAIN"," County Courthouse, Texas","EXACT_OR_ACCEPTABLE_APPROXIMATE","","null","PUBLIC_POI_NOT_RESIDENTIAL_EXACTNESS","null","null","null","null","null","null","null","null","null","null","null","null","null","null","PLAN ONLY — execute in an approved owner browser; no private address and no runtime result claimed."
"LP241-TX-48047-01","brooks","","48047","null","null","SYNTHETIC_NO_RESULT","SYNTHETIC_NEGATIVE","INTENTIONAL_TYPO","Nonexistent LP241 Test Road,  County, Texas","TRUTHFUL_NO_RESULT","","null","NO_RESULT","null","null","null","null","null","null","null","null","null","null","null","null","null","null","PLAN ONLY — execute in an approved owner browser; no private address and no runtime result claimed."
"LP241-TX-48049-01","brown","","48049","null","null","TYPO_NORMALIZATION","PUBLIC_GOVERNMENT_FACILITY","COUNTY_ROAD_SPELLED_OUT"," County Courthouse, Texas","EXACT_OR_ACCEPTABLE_APPROXIMATE","","null","PUBLIC_POI_NOT_RESIDENTIAL_EXACTNESS","null","null","null","null","null","null","null","null","null","null","null","null","null","null","PLAN ONLY — execute in an approved owner browser; no private address and no runtime result claimed."
