batch,batchNumber,position,countyId,county,fips
batch-01,1,1,anderson,Anderson County,48001
batch-01,1,2,andrews,Andrews County,48003
batch-01,1,3,angelina,Angelina County,48005
batch-01,1,4,aransas,Aransas County,48007
batch-01,1,5,archer,Archer County,48009
batch-01,1,6,armstrong,Armstrong County,48011
batch-01,1,7,atascosa,Atascosa County,48013
batch-01,1,8,bailey,Bailey County,48017
batch-01,1,9,bandera,Bandera County,48019
batch-01,1,10,bastrop,Bastrop County,48021
batch-01,1,11,baylor,Baylor County,48023
batch-01,1,12,bee,Bee County,48025
batch-01,1,13,bell,Bell County,48027
batch-01,1,14,bexar,Bexar County,48029
batch-01,1,15,blanco,Blanco County,48031
batch-01,1,16,borden,Borden County,48033
batch-01,1,17,bosque,Bosque County,48035
batch-01,1,18,bowie,Bowie County,48037
batch-01,1,19,brewster,Brewster County,48043
batch-01,1,20,briscoe,Briscoe County,48045
batch-01,1,21,brooks,Brooks County,48047
batch-01,1,22,brown,Brown County,48049
batch-01,1,23,burnet,Burnet County,48053
batch-01,1,24,caldwell,Caldwell County,48055
batch-01,1,25,callahan,Callahan County,48059
batch-02,2,1,cameron,Cameron County,48061
batch-02,2,2,camp,Camp County,48063
batch-02,2,3,carson,Carson County,48065
batch-02,2,4,cass,Cass County,48067
batch-02,2,5,castro,Castro County,48069
batch-02,2,6,cherokee,Cherokee County,48073
batch-02,2,7,childress,Childress County,48075
batch-02,2,8,clay,Clay County,48077
batch-02,2,9,cochran,Cochran County,48079
batch-02,2,10,coke,Coke County,48081
batch-02,2,11,coleman,Coleman County,48083
batch-02,2,12,collin,Collin County,48085
batch-02,2,13,collingsworth,Collingsworth County,48087
batch-02,2,14,comal,Comal County,48091
batch-02,2,15,comanche,Comanche County,48093
batch-02,2,16,concho,Concho County,48095
batch-02,2,17,cooke,Cooke County,48097
batch-02,2,18,coryell,Coryell County,48099
batch-02,2,19,cottle,Cottle County,48101
batch-02,2,20,crane,Crane County,48103
batch-02,2,21,crockett,Crockett County,48105
batch-02,2,22,crosby,Crosby County,48107
batch-02,2,23,culberson,Culberson County,48109
batch-02,2,24,dallam,Dallam County,48111
batch-02,2,25,dallas,Dallas County,48113
batch-03,3,1,dawson,Dawson County,48115
batch-03,3,2,deaf-smith,Deaf Smith County,48117
batch-03,3,3,delta,Delta County,48119
batch-03,3,4,denton,Denton County,48121
batch-03,3,5,dewitt,DeWitt County,48123
batch-03,3,6,dickens,Dickens County,48125
batch-03,3,7,dimmit,Dimmit County,48127
batch-03,3,8,donley,Donley County,48129
batch-03,3,9,duval,Duval County,48131
batch-03,3,10,eastland,Eastland County,48133
batch-03,3,11,ector,Ector County,48135
batch-03,3,12,edwards,Edwards County,48137
batch-03,3,13,ellis,Ellis County,48139
batch-03,3,14,el-paso,El Paso County,48141
batch-03,3,15,erath,Erath County,48143
batch-03,3,16,falls,Falls County,48145
batch-03,3,17,fannin,Fannin County,48147
batch-03,3,18,fisher,Fisher County,48151
batch-03,3,19,floyd,Floyd County,48153
batch-03,3,20,foard,Foard County,48155
batch-03,3,21,franklin,Franklin County,48159
batch-03,3,22,freestone,Freestone County,48161
batch-03,3,23,frio,Frio County,48163
batch-03,3,24,gaines,Gaines County,48165
batch-03,3,25,garza,Garza County,48169
batch-04,4,1,gillespie,Gillespie County,48171
batch-04,4,2,glasscock,Glasscock County,48173
batch-04,4,3,goliad,Goliad County,48175
batch-04,4,4,gonzales,Gonzales County,48177
batch-04,4,5,gray,Gray County,48179
batch-04,4,6,grayson,Grayson County,48181
batch-04,4,7,gregg,Gregg County,48183
batch-04,4,8,guadalupe,Guadalupe County,48187
batch-04,4,9,hale,Hale County,48189
batch-04,4,10,hall,Hall County,48191
batch-04,4,11,hamilton,Hamilton County,48193
batch-04,4,12,hansford,Hansford County,48195
batch-04,4,13,hardeman,Hardeman County,48197
batch-04,4,14,harrison,Harrison County,48203
batch-04,4,15,hartley,Hartley County,48205
batch-04,4,16,haskell,Haskell County,48207
batch-04,4,17,hays,Hays County,48209
batch-04,4,18,hemphill,Hemphill County,48211
batch-04,4,19,henderson,Henderson County,48213
batch-04,4,20,hidalgo,Hidalgo County,48215
batch-04,4,21,hill,Hill County,48217
batch-04,4,22,hockley,Hockley County,48219
batch-04,4,23,hood,Hood County,48221
batch-04,4,24,hopkins,Hopkins County,48223
batch-04,4,25,houston,Houston County,48225
batch-05,5,1,howard,Howard County,48227
batch-05,5,2,hudspeth,Hudspeth County,48229
batch-05,5,3,hunt,Hunt County,48231
batch-05,5,4,hutchinson,Hutchinson County,48233
batch-05,5,5,irion,Irion County,48235
batch-05,5,6,jack,Jack County,48237
batch-05,5,7,jeff-davis,Jeff Davis County,48243
batch-05,5,8,jim-hogg,Jim Hogg County,48247
batch-05,5,9,jim-wells,Jim Wells County,48249
batch-05,5,10,johnson,Johnson County,48251
batch-05,5,11,jones,Jones County,48253
batch-05,5,12,karnes,Karnes County,48255
batch-05,5,13,kaufman,Kaufman County,48257
batch-05,5,14,kendall,Kendall County,48259
batch-05,5,15,kenedy,Kenedy County,48261
batch-05,5,16,kent,Kent County,48263
batch-05,5,17,kerr,Kerr County,48265
batch-05,5,18,kimble,Kimble County,48267
batch-05,5,19,king,King County,48269
batch-05,5,20,kinney,Kinney County,48271
batch-05,5,21,kleberg,Kleberg County,48273
batch-05,5,22,knox,Knox County,48275
batch-05,5,23,lamar,Lamar County,48277
batch-05,5,24,lamb,Lamb County,48279
batch-05,5,25,lampasas,Lampasas County,48281
batch-06,6,1,la-salle,La Salle County,48283
batch-06,6,2,leon,Leon County,48289
batch-06,6,3,limestone,Limestone County,48293
batch-06,6,4,lipscomb,Lipscomb County,48295
batch-06,6,5,live-oak,Live Oak County,48297
batch-06,6,6,llano,Llano County,48299
batch-06,6,7,loving,Loving County,48301
batch-06,6,8,lubbock,Lubbock County,48303
batch-06,6,9,lynn,Lynn County,48305
batch-06,6,10,mcculloch,McCulloch County,48307
batch-06,6,11,mclennan,McLennan County,48309
batch-06,6,12,mcmullen,McMullen County,48311
batch-06,6,13,madison,Madison County,48313
batch-06,6,14,marion,Marion County,48315
batch-06,6,15,martin,Martin County,48317
batch-06,6,16,mason,Mason County,48319
batch-06,6,17,maverick,Maverick County,48323
batch-06,6,18,medina,Medina County,48325
batch-06,6,19,menard,Menard County,48327
batch-06,6,20,midland,Midland County,48329
batch-06,6,21,mills,Mills County,48333
batch-06,6,22,mitchell,Mitchell County,48335
batch-06,6,23,montague,Montague County,48337
batch-06,6,24,moore,Moore County,48341
batch-06,6,25,morris,Morris County,48343
batch-07,7,1,motley,Motley County,48345
batch-07,7,2,nacogdoches,Nacogdoches County,48347
batch-07,7,3,navarro,Navarro County,48349
batch-07,7,4,nolan,Nolan County,48353
batch-07,7,5,nueces,Nueces County,48355
batch-07,7,6,ochiltree,Ochiltree County,48357
batch-07,7,7,oldham,Oldham County,48359
batch-07,7,8,palo-pinto,Palo Pinto County,48363
batch-07,7,9,panola,Panola County,48365
batch-07,7,10,parker,Parker County,48367
batch-07,7,11,parmer,Parmer County,48369
batch-07,7,12,pecos,Pecos County,48371
batch-07,7,13,potter,Potter County,48375
batch-07,7,14,presidio,Presidio County,48377
batch-07,7,15,rains,Rains County,48379
batch-07,7,16,randall,Randall County,48381
batch-07,7,17,reagan,Reagan County,48383
batch-07,7,18,real,Real County,48385
batch-07,7,19,red-river,Red River County,48387
batch-07,7,20,reeves,Reeves County,48389
batch-07,7,21,refugio,Refugio County,48391
batch-07,7,22,roberts,Roberts County,48393
batch-07,7,23,rockwall,Rockwall County,48397
batch-07,7,24,runnels,Runnels County,48399
batch-07,7,25,rusk,Rusk County,48401
batch-08,8,1,sabine,Sabine County,48403
batch-08,8,2,san-augustine,San Augustine County,48405
batch-08,8,3,san-patricio,San Patricio County,48409
batch-08,8,4,san-saba,San Saba County,48411
batch-08,8,5,schleicher,Schleicher County,48413
batch-08,8,6,scurry,Scurry County,48415
batch-08,8,7,shackelford,Shackelford County,48417
batch-08,8,8,shelby,Shelby County,48419
batch-08,8,9,sherman,Sherman County,48421
batch-08,8,10,smith,Smith County,48423
batch-08,8,11,somervell,Somervell County,48425
batch-08,8,12,starr,Starr County,48427
batch-08,8,13,stephens,Stephens County,48429
batch-08,8,14,sterling,Sterling County,48431
batch-08,8,15,stonewall,Stonewall County,48433
batch-08,8,16,sutton,Sutton County,48435
batch-08,8,17,swisher,Swisher County,48437
batch-08,8,18,tarrant,Tarrant County,48439
batch-08,8,19,taylor,Taylor County,48441
batch-08,8,20,terrell,Terrell County,48443
batch-08,8,21,terry,Terry County,48445
batch-08,8,22,throckmorton,Throckmorton County,48447
batch-08,8,23,titus,Titus County,48449
batch-08,8,24,tom-green,Tom Green County,48451
batch-08,8,25,travis,Travis County,48453
batch-09,9,1,upshur,Upshur County,48459
batch-09,9,2,upton,Upton County,48461
batch-09,9,3,uvalde,Uvalde County,48463
batch-09,9,4,val-verde,Val Verde County,48465
batch-09,9,5,van-zandt,Van Zandt County,48467
batch-09,9,6,ward,Ward County,48475
batch-09,9,7,webb,Webb County,48479
batch-09,9,8,wheeler,Wheeler County,48483
batch-09,9,9,wichita,Wichita County,48485
batch-09,9,10,wilbarger,Wilbarger County,48487
batch-09,9,11,willacy,Willacy County,48489
batch-09,9,12,williamson,Williamson County,48491
batch-09,9,13,wilson,Wilson County,48493
batch-09,9,14,winkler,Winkler County,48495
batch-09,9,15,wise,Wise County,48497
batch-09,9,16,wood,Wood County,48499
batch-09,9,17,yoakum,Yoakum County,48501
batch-09,9,18,young,Young County,48503
batch-09,9,19,zapata,Zapata County,48505
batch-09,9,20,zavala,Zavala County,48507
