"County","FIPS","Address","Communities","Destinations","Crossings","Search","Runtime","Activation Blocker","Tier","Status","Missing Evidence"
"Anderson County","48001","CANDIDATE_ONLY","0","0","0","A:N C:N D:N","MISSING_REQUIRED_EVIDENCE","Missing Community Coverage","TIER_4","CANDIDATE_ONLY","communities; destinations; production crossing package; address runtime eligibility"
"Andrews County","48003","CANDIDATE_ONLY","0","0","0","A:N C:N D:N","MISSING_REQUIRED_EVIDENCE","Missing Community Coverage","TIER_4","CANDIDATE_ONLY","communities; destinations; production crossing package; address runtime eligibility"
"Angelina County","48005","CANDIDATE_ONLY","0","0","0","A:N C:N D:N","MISSING_REQUIRED_EVIDENCE","Missing Community Coverage","TIER_4","CANDIDATE_ONLY","communities; destinations; production crossing package; address runtime eligibility"
"Aransas County","48007","CANDIDATE_ONLY","0","0","0","A:N C:N D:N","MISSING_REQUIRED_EVIDENCE","Missing Community Coverage","TIER_4","CANDIDATE_ONLY","communities; destinations; production crossing package; address runtime eligibility"
"Archer County","48009","CANDIDATE_ONLY","0","0","0","A:N C:N D:N","MISSING_REQUIRED_EVIDENCE","Missing Community Coverage","TIER_4","CANDIDATE_ONLY","communities; destinations; production crossing package; address runtime eligibility"
"Armstrong County","48011","CANDIDATE_ONLY","0","0","0","A:N C:N D:N","MISSING_REQUIRED_EVIDENCE","Missing Community Coverage","TIER_4","CANDIDATE_ONLY","communities; destinations; production crossing package; address runtime eligibility"
"Atascosa County","48013","CANDIDATE_ONLY","0","0","0","A:N C:N D:N","MISSING_REQUIRED_EVIDENCE","Missing Community Coverage","TIER_4","CANDIDATE_ONLY","communities; destinations; production crossing package; address runtime eligibility"
"Austin County","48015","CANDIDATE_ONLY","0","5","101","A:N C:N D:Y","MISSING_REQUIRED_EVIDENCE","Missing Community Coverage","TIER_3","CANDIDATE_ONLY","communities; address runtime eligibility"
"Bailey County","48017","CANDIDATE_ONLY","0","0","0","A:N C:N D:N","MISSING_REQUIRED_EVIDENCE","Missing Community Coverage","TIER_4","CANDIDATE_ONLY","communities; destinations; production crossing package; address runtime eligibility"
"Bandera County","48019","CERTIFICATION_BLOCKED","0","0","0","A:N C:N D:N","CERTIFICATION_BLOCKED","Certification Blocked","TIER_4","CERTIFICATION_BLOCKED","communities; destinations; production crossing package; certification; address runtime eligibility"
"Bastrop County","48021","CANDIDATE_ONLY","0","0","0","A:N C:N D:N","MISSING_REQUIRED_EVIDENCE","Missing Community Coverage","TIER_4","CANDIDATE_ONLY","communities; destinations; production crossing package; address runtime eligibility"
"Baylor County","48023","CANDIDATE_ONLY","0","0","0","A:N C:N D:N","MISSING_REQUIRED_EVIDENCE","Missing Community Coverage","TIER_4","CANDIDATE_ONLY","communities; destinations; production crossing package; address runtime eligibility"
"Bee County","48025","CANDIDATE_ONLY","0","0","0","A:N C:N D:N","MISSING_REQUIRED_EVIDENCE","Missing Community Coverage","TIER_4","CANDIDATE_ONLY","communities; destinations; production crossing package; address runtime eligibility"
"Bell County","48027","CERTIFICATION_BLOCKED","0","0","0","A:N C:N D:N","CERTIFICATION_BLOCKED","Certification Blocked","TIER_4","CERTIFICATION_BLOCKED","communities; destinations; production crossing package; certification; address runtime eligibility"
"Bexar County","48029","CANDIDATE_ONLY","0","0","0","A:N C:N D:N","MISSING_REQUIRED_EVIDENCE","Missing Community Coverage","TIER_4","CANDIDATE_ONLY","communities; destinations; production crossing package; address runtime eligibility"
"Blanco County","48031","CANDIDATE_ONLY","0","0","0","A:N C:N D:N","MISSING_REQUIRED_EVIDENCE","Missing Community Coverage","TIER_4","CANDIDATE_ONLY","communities; destinations; production crossing package; address runtime eligibility"
"Borden County","48033","CANDIDATE_ONLY","0","0","0","A:N C:N D:N","MISSING_REQUIRED_EVIDENCE","Missing Community Coverage","TIER_4","CANDIDATE_ONLY","communities; destinations; production crossing package; address runtime eligibility"
"Bosque County","48035","CANDIDATE_ONLY","0","0","0","A:N C:N D:N","MISSING_REQUIRED_EVIDENCE","Missing Community Coverage","TIER_4","CANDIDATE_ONLY","communities; destinations; production crossing package; address runtime eligibility"
"Bowie County","48037","CANDIDATE_ONLY","0","0","0","A:N C:N D:N","MISSING_REQUIRED_EVIDENCE","Missing Community Coverage","TIER_4","CANDIDATE_ONLY","communities; destinations; production crossing package; address runtime eligibility"
"Brazoria County","48039","CANDIDATE_ONLY","0","5","157","A:N C:N D:Y","MISSING_REQUIRED_EVIDENCE","Missing Community Coverage","TIER_3","CANDIDATE_ONLY","communities; address runtime eligibility"
"Brazos County","48041","CANDIDATE_ONLY","0","5","86","A:N C:N D:Y","MISSING_REQUIRED_EVIDENCE","Missing Community Coverage","TIER_3","CANDIDATE_ONLY","communities; address runtime eligibility"
