"County","FIPS","Certification status","Failure stage","Primary classification","Evidence reference"
"Anderson County","48001","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-01/certification/anderson-48001.certification.json"
"Andrews County","48003","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-01/certification/andrews-48003.certification.json"
"Angelina County","48005","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-01/certification/angelina-48005.certification.json"
"Aransas County","48007","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-01/certification/aransas-48007.certification.json"
"Archer County","48009","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-01/certification/archer-48009.certification.json"
"Armstrong County","48011","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-01/certification/armstrong-48011.certification.json"
"Atascosa County","48013","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-01/certification/atascosa-48013.certification.json"
"Austin County","48015","CERTIFIED","","OBSERVED_PASS","data/generated/lp1051/certification/austin-48015.certification.json"
"Bailey County","48017","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-01/certification/bailey-48017.certification.json"
"Bandera County","48019","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-01/certification/bandera-48019.certification.json"
"Bastrop County","48021","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-01/certification/bastrop-48021.certification.json"
"Baylor County","48023","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-01/certification/baylor-48023.certification.json"
"Bee County","48025","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-01/certification/bee-48025.certification.json"
"Bell County","48027","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-01/certification/bell-48027.certification.json"
"Bexar County","48029","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-01/certification/bexar-48029.certification.json"
"Blanco County","48031","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-01/certification/blanco-48031.certification.json"
"Borden County","48033","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-01/certification/borden-48033.certification.json"
"Bosque County","48035","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-01/certification/bosque-48035.certification.json"
"Bowie County","48037","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-01/certification/bowie-48037.certification.json"
"Brazoria County","48039","CERTIFIED","","OBSERVED_PASS","data/generated/lp1051/certification/brazoria-48039.certification.json"
"Brazos County","48041","CERTIFIED","","OBSERVED_PASS","data/generated/lp1051/certification/brazos-48041.certification.json"
"Brewster County","48043","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-01/certification/brewster-48043.certification.json"
"Briscoe County","48045","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-01/certification/briscoe-48045.certification.json"
"Brooks County","48047","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-01/certification/brooks-48047.certification.json"
"Brown County","48049","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-01/certification/brown-48049.certification.json"
"Burleson County","48051","CERTIFIED","","OBSERVED_PASS","reports/lp129-wave-3/certification/burleson-48051.certification.json"
"Burnet County","48053","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-01/certification/burnet-48053.certification.json"
"Caldwell County","48055","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-01/certification/caldwell-48055.certification.json"
"Calhoun County","48057","CERTIFIED","","OBSERVED_PASS","data/generated/lp1051/certification/calhoun-48057.certification.json"
"Callahan County","48059","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-01/certification/callahan-48059.certification.json"
"Cameron County","48061","CERTIFICATION_BLOCKED","PACKAGE_AVAILABILITY","LOCAL_PACKAGE_UNAVAILABLE","evidence/lp134/certification-results.json#/remaining/0"
"Camp County","48063","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-02/certification/camp-48063.certification.json"
"Carson County","48065","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-02/certification/carson-48065.certification.json"
"Cass County","48067","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-02/certification/cass-48067.certification.json"
"Castro County","48069","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-02/certification/castro-48069.certification.json"
"Chambers County","48071","CERTIFIED","","OBSERVED_PASS","data/generated/lp1051/certification/chambers-48071.certification.json"
"Cherokee County","48073","CERTIFICATION_BLOCKED","PACKAGE_AVAILABILITY","LOCAL_PACKAGE_UNAVAILABLE","evidence/lp134/certification-results.json#/remaining/1"
"Childress County","48075","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-02/certification/childress-48075.certification.json"
"Clay County","48077","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-02/certification/clay-48077.certification.json"
"Cochran County","48079","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-02/certification/cochran-48079.certification.json"
"Coke County","48081","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-02/certification/coke-48081.certification.json"
"Coleman County","48083","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-02/certification/coleman-48083.certification.json"
"Collin County","48085","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-02/certification/collin-48085.certification.json"
"Collingsworth County","48087","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-02/certification/collingsworth-48087.certification.json"
"Colorado County","48089","CERTIFIED","","OBSERVED_PASS","data/generated/lp1051/certification/colorado-48089.certification.json"
"Comal County","48091","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-02/certification/comal-48091.certification.json"
"Comanche County","48093","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-02/certification/comanche-48093.certification.json"
"Concho County","48095","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-02/certification/concho-48095.certification.json"
"Cooke County","48097","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-02/certification/cooke-48097.certification.json"
"Coryell County","48099","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-02/certification/coryell-48099.certification.json"
"Cottle County","48101","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-02/certification/cottle-48101.certification.json"
"Crane County","48103","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-02/certification/crane-48103.certification.json"
"Crockett County","48105","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-02/certification/crockett-48105.certification.json"
"Crosby County","48107","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-02/certification/crosby-48107.certification.json"
"Culberson County","48109","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-02/certification/culberson-48109.certification.json"
"Dallam County","48111","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-02/certification/dallam-48111.certification.json"
"Dallas County","48113","CERTIFICATION_BLOCKED","PACKAGE_AVAILABILITY","LOCAL_PACKAGE_UNAVAILABLE","evidence/lp134/certification-results.json#/remaining/2"
"Dawson County","48115","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-03/certification/dawson-48115.certification.json"
"Deaf Smith County","48117","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-03/certification/deaf-smith-48117.certification.json"
"Delta County","48119","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-03/certification/delta-48119.certification.json"
"Denton County","48121","CERTIFICATION_BLOCKED","PACKAGE_AVAILABILITY","LOCAL_PACKAGE_UNAVAILABLE","evidence/lp134/certification-results.json#/remaining/3"
"DeWitt County","48123","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-03/certification/dewitt-48123.certification.json"
"Dickens County","48125","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-03/certification/dickens-48125.certification.json"
"Dimmit County","48127","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-03/certification/dimmit-48127.certification.json"
"Donley County","48129","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-03/certification/donley-48129.certification.json"
"Duval County","48131","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-03/certification/duval-48131.certification.json"
"Eastland County","48133","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-03/certification/eastland-48133.certification.json"
"Ector County","48135","CERTIFICATION_BLOCKED","PACKAGE_AVAILABILITY","LOCAL_PACKAGE_UNAVAILABLE","evidence/lp134/certification-results.json#/remaining/4"
"Edwards County","48137","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-03/certification/edwards-48137.certification.json"
"Ellis County","48139","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-03/certification/ellis-48139.certification.json"
"El Paso County","48141","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-03/certification/el-paso-48141.certification.json"
"Erath County","48143","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-03/certification/erath-48143.certification.json"
"Falls County","48145","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-03/certification/falls-48145.certification.json"
"Fannin County","48147","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-03/certification/fannin-48147.certification.json"
"Fayette County","48149","CERTIFIED","","OBSERVED_PASS","data/generated/lp1051/certification/fayette-48149.certification.json"
"Fisher County","48151","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-03/certification/fisher-48151.certification.json"
"Floyd County","48153","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-03/certification/floyd-48153.certification.json"
"Foard County","48155","CERTIFIED","","OBSERVED_PASS","reports/lp130-statewide-addresses/batch-03/certification/foard-48155.certification.json"
"Fort Bend County","48157","CERTIFIED","","OBSERVED_PASS","data/generated/lp1051/certification/fort-bend-48157.certification.json"
