canonicalCommunity,canonicalPlaceId,membershipCountyIds,membershipCount,crossingAuthorityAvailable,crossingAuthorityReason,canonicalCrossingIdentityCount,resolvedCrossingRecordCount,crossingCountyIds,unresolvedCrossingIds,duplicateCrossingIds,missingCrossingMemberships,crossingAuthorityState,crossingIdentityParityPass,crossingMembershipParityPass,crossingAuthorityPass
Abbott,4800100,hill-tx,1,true,,2,2,hill-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Abernathy,4800160,hale-tx|lubbock-tx,2,true,,3,3,hale-tx|lubbock-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Abilene,4801000,jones-tx|taylor-tx,2,true,,49,49,jones-tx|taylor-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Abram,4801060,hidalgo-tx,1,true,,2,2,hidalgo-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Acala,4801084,hudspeth-tx,1,true,,1,1,hudspeth-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Ackerly,4801108,dawson-tx|martin-tx,2,true,,0,0,dawson-tx|martin-tx,,,,AVAILABLE_EMPTY,true,true,true
Addison,4801240,dallas-tx,1,true,,7,7,dallas-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Adrian,4801324,oldham-tx,1,true,,0,0,oldham-tx,,,,AVAILABLE_EMPTY,true,true,true
Agua Dulce,4801390,el-paso-tx,1,true,,0,0,el-paso-tx,,,,AVAILABLE_EMPTY,true,true,true
Agua Dulce,4801396,nueces-tx,1,true,,3,3,nueces-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Aguilares,4801420,webb-tx,1,true,,0,0,webb-tx,,,,AVAILABLE_EMPTY,true,true,true
Airport Heights,4801500,starr-tx,1,true,,0,0,starr-tx,,,,AVAILABLE_EMPTY,true,true,true
Airport Road Addition,4801514,brooks-tx,1,true,,0,0,brooks-tx,,,,AVAILABLE_EMPTY,true,true,true
Alamo,4801576,hidalgo-tx,1,true,,10,10,hidalgo-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Alamo Beach,4801594,calhoun-tx,1,true,,0,0,calhoun-tx,,,,AVAILABLE_EMPTY,true,true,true
Alamo Heights,4801600,bexar-tx,1,true,,0,0,bexar-tx,,,,AVAILABLE_EMPTY,true,true,true
Alanreed,4801612,gray-tx,1,true,,0,0,gray-tx,,,,AVAILABLE_EMPTY,true,true,true
Alba,4801636,rains-tx|wood-tx,2,true,,0,0,rains-tx|wood-tx,,,,AVAILABLE_EMPTY,true,true,true
Albany,4801648,shackelford-tx,1,true,,0,0,shackelford-tx,,,,AVAILABLE_EMPTY,true,true,true
Aldine,4801696,harris-tx,1,true,,2,2,harris-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Aledo,4801744,parker-tx,1,true,,2,2,parker-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Alfred,4801816,jim-wells-tx,1,true,,0,0,jim-wells-tx,,,,AVAILABLE_EMPTY,true,true,true
Alice,4801852,jim-wells-tx,1,true,,26,26,jim-wells-tx,,,,AVAILABLE_NONEMPTY,true,true,true
