countyFips,countyName,query,providerCertifiedCandidateCount,providerCanonicalCount,normalizedCount,containedCount,countyQualifiedCount,intentAcceptedCount,qualityAcceptedCount,dedupedCount,publicationEligibleCount,finalPublishedCount,title,county,state,countyId,latitude,longitude,structuredGeographyUsed,missingIntentTerms,firstLosingStage,rejectionCode,classification
"48001","Anderson","Anderson County Courthouse, Anderson County, Texas","1","1","1","1","1","1","1","1","1","1","Anderson County Courthouse","Anderson County","Texas","anderson-tx","31.7649259","-95.6261568","true","","","","PASS"
"48003","Andrews","Andrews County Courthouse, Andrews County, Texas","1","1","1","1","1","1","1","1","1","1","Andrews County Courthouse","Andrews County","Texas","andrews-tx","32.3201373","-102.5476518","true","","","","PASS"
"48005","Angelina","Angelina County Courthouse, Angelina County, Texas","1","1","1","1","1","1","1","1","1","1","Angelina County Courthouse","Angelina County","Texas","angelina-tx","31.3390773","-94.7270406","true","","","","PASS"
"48007","Aransas","Aransas County Courthouse, Aransas County, Texas","1","1","1","1","1","1","1","1","1","1","Aransas County Courthouse","Aransas County","Texas","aransas-tx","28.0564213","-97.0405238","true","","","","PASS"
"48009","Archer","Archer County Courthouse, Archer County, Texas","1","1","1","1","1","1","1","1","1","1","Archer County Courthouse and Jail","Archer County","Texas","archer-tx","33.5951085","-98.6252247","true","","","","PASS"
"48011","Armstrong","Armstrong County Courthouse, Armstrong County, Texas","1","1","1","1","1","1","1","1","1","1","Armstrong County Courthouse","Armstrong County","Texas","armstrong-tx","35.1093044","-101.3589122","true","","","","PASS"
"48013","Atascosa","Atascosa County Courthouse, Atascosa County, Texas","1","1","1","1","1","1","1","1","1","1","Atascosa County Courthouse","Atascosa County","Texas","atascosa-tx","28.9185186","-98.5454279","true","","","","PASS"
"48015","Austin","Austin County Courthouse, Austin County, Texas","1","1","1","1","1","1","1","1","1","1","Austin County Courthouse","Austin County","Texas","austin-tx","29.9503351","-96.2573093","true","","","","PASS"
"48017","Bailey","Bailey County Courthouse, Bailey County, Texas","1","1","1","1","1","1","1","1","1","1","Bailey County Courthouse","Bailey County","Texas","bailey-tx","34.2244878","-102.7262462","true","","","","PASS"
"48019","Bandera","Bandera County Courthouse, Bandera County, Texas","1","1","1","1","1","1","1","1","1","1","Bandera County Courthouse","Bandera County","Texas","bandera-tx","29.7265977","-99.0726177","true","","","","PASS"
"48021","Bastrop","Bastrop County Courthouse, Bastrop County, Texas","1","1","1","1","1","1","1","1","1","1","Bastrop County Courthouse","Bastrop County","Texas","bastrop-tx","30.1088969","-97.31812","true","","","","PASS"
"48023","Baylor","Baylor County Courthouse, Baylor County, Texas","1","1","1","1","1","1","1","1","1","1","Baylor County Courthouse","Baylor County","Texas","baylor-tx","33.5874374","-99.2609077","true","","","","PASS"
"48025","Bee","Bee County Courthouse, Bee County, Texas","1","1","1","1","1","1","1","1","1","1","Bee County Courthouse","Bee County","Texas","bee-tx","28.4013208","-97.7483637","true","","","","PASS"
"48027","Bell","Bell County Courthouse, Bell County, Texas","1","1","1","1","1","1","1","1","1","1","Bell County Courthouse","Bell County","Texas","bell-tx","31.0559328","-97.4634392","true","","","","PASS"
"48029","Bexar","Bexar County Courthouse, Bexar County, Texas","1","1","1","1","1","1","1","1","1","1","Bexar County Courthouse","Bexar County","Texas","bexar-tx","29.423256","-98.49364","true","","","","PASS"
"48031","Blanco","Blanco County Courthouse, Blanco County, Texas","1","1","1","1","1","1","1","1","1","1","Blanco County Courthouse","Blanco County","Texas","blanco-tx","30.278134","-98.4114593","true","","","","PASS"
"48033","Borden","Borden County Courthouse, Borden County, Texas","1","1","1","1","1","1","1","1","1","1","Borden County Courthouse","Borden County","Texas","borden-tx","32.7699618","-101.4449328","true","","","","PASS"
