countyFips,countyName,expectedCountyId,expectedCountyName,seedQuery,executionState,providerOutcome,resolvedLabel,resolvedLatitude,resolvedLongitude,resolvedCounty,countyMatch,providerEvidenceState,ownerVisualState
"48001","Anderson","anderson","Anderson","Anderson County Courthouse, Anderson County, Texas","PROVIDER_EXECUTED","PASS","Anderson County Courthouse, East Lacy Street, Old Town, Palestine, Anderson County, Texas, 75801, United States","31.7649259","-95.6261568","Anderson County","true","PROVIDER_CERTIFIED","PENDING"
"48003","Andrews","andrews","Andrews","Andrews County Courthouse, Andrews County, Texas","PROVIDER_EXECUTED","PASS","Andrews County Courthouse, 201, North Main Street, Duncan, Andrews, Andrews County, Texas, 79714, United States","32.3201373","-102.5476518","Andrews County","true","PROVIDER_CERTIFIED","PENDING"
"48005","Angelina","angelina","Angelina","Angelina County Courthouse, Angelina County, Texas","PROVIDER_EXECUTED","PASS","Angelina County Courthouse, 215, East Lufkin Avenue, Lufkin, Angelina County, Texas, 75901, United States","31.3390773","-94.7270406","Angelina County","true","PROVIDER_CERTIFIED","PENDING"
"48007","Aransas","aransas","Aransas","Aransas County Courthouse, Aransas County, Texas","PROVIDER_EXECUTED","PASS","Aransas County Courthouse, South 7th Street, Rockport, Aransas County, Texas, 78382, United States","28.0564213","-97.0405238","Aransas County","true","PROVIDER_CERTIFIED","PENDING"
"48009","Archer","archer","Archer","Archer County Courthouse, Archer County, Texas","PROVIDER_EXECUTED","PASS","Archer County Courthouse and Jail, 100, South Center Street, Archer City, Archer County, Texas, 76351, United States","33.5951085","-98.6252247","Archer County","true","PROVIDER_CERTIFIED","PENDING"
"48011","Armstrong","armstrong","Armstrong","Armstrong County Courthouse, Armstrong County, Texas","PROVIDER_EXECUTED","PASS","Armstrong County Courthouse, 101, South Trice Street, Claude, Armstrong County, Texas, 79019, United States","35.1093044","-101.3589122","Armstrong County","true","PROVIDER_CERTIFIED","PENDING"
"48013","Atascosa","atascosa","Atascosa","Atascosa County Courthouse, Atascosa County, Texas","PROVIDER_EXECUTED","PASS","Atascosa County Courthouse, Campbell Avenue, Jourdanton, Atascosa County, Texas, 78026, United States","28.9185186","-98.5454279","Atascosa County","true","PROVIDER_CERTIFIED","PENDING"
"48015","Austin","austin","Austin","Austin County Courthouse, Austin County, Texas","PROVIDER_EXECUTED","PASS","Austin County Courthouse, 1, East Main Street, Bellville, Austin County, Texas, 77418, United States","29.9503351","-96.2573093","Austin County","true","PROVIDER_CERTIFIED","PENDING"
"48017","Bailey","bailey","Bailey","Bailey County Courthouse, Bailey County, Texas","PROVIDER_EXECUTED","PASS","Bailey County Courthouse, West Avenue C, Muleshoe, Bailey County, Texas, 79337, United States","34.2244878","-102.7262462","Bailey County","true","PROVIDER_CERTIFIED","PENDING"
"48019","Bandera","bandera","Bandera","Bandera County Courthouse, Bandera County, Texas","PROVIDER_EXECUTED","PASS","Bandera County Courthouse, Main Street, Bandera Town Square, Bandera, Bandera County, Texas, 78003, United States","29.7265977","-99.0726177","Bandera County","true","PROVIDER_CERTIFIED","PENDING"
"48021","Bastrop","bastrop","Bastrop","Bastrop County Courthouse, Bastrop County, Texas","PROVIDER_EXECUTED","PASS","Bastrop County Courthouse, 804, Pecan Street, Bastrop, Bastrop County, Texas, 78602, United States","30.1088969","-97.31812","Bastrop County","true","PROVIDER_CERTIFIED","PENDING"
"48023","Baylor","baylor","Baylor","Baylor County Courthouse, Baylor County, Texas","PROVIDER_EXECUTED","PASS","Baylor County Courthouse, 101, South Washington Street, Seymour, Baylor County, Texas, 76380, United States","33.5874374","-99.2609077","Baylor County","true","PROVIDER_CERTIFIED","PENDING"
"48025","Bee","bee","Bee","Bee County Courthouse, Bee County, Texas","PROVIDER_EXECUTED","PASS","Bee County Courthouse, West Houston Street, Beeville, Bee County, Texas, 78102, United States","28.4013208","-97.7483637","Bee County","true","PROVIDER_CERTIFIED","PENDING"
"48027","Bell","bell","Bell","Bell County Courthouse, Bell County, Texas","PROVIDER_EXECUTED","PASS","Bell County Courthouse, 101, East Central Avenue, Belton, Bell County, Texas, 76513, United States","31.0559328","-97.4634392","Bell County","true","PROVIDER_CERTIFIED","PENDING"
"48029","Bexar","bexar","Bexar","Bexar County Courthouse, Bexar County, Texas","PROVIDER_EXECUTED","PASS","Bexar County Courthouse, 100, Dolorosa Street, Downtown, San Antonio, Bexar County, Texas, 78205, United States","29.423256","-98.49364","Bexar County","true","PROVIDER_CERTIFIED","PENDING"
"48031","Blanco","blanco","Blanco","Blanco County Courthouse, Blanco County, Texas","PROVIDER_EXECUTED","PASS","Blanco County Courthouse, 101, East Pecan Drive, Johnson City, Blanco County, Texas, 78636, United States","30.278134","-98.4114593","Blanco County","true","PROVIDER_CERTIFIED","PENDING"
"48033","Borden","borden","Borden","Borden County Courthouse, Borden County, Texas","PROVIDER_EXECUTED","PASS","Borden County Courthouse, 117, East Wasson Avenue, Gail, Borden County, Texas, 79738, United States","32.7699618","-101.4449328","Borden County","true","PROVIDER_CERTIFIED","PENDING"
"48035","Bosque","bosque","Bosque","Bosque County Courthouse, Bosque County, Texas","PROVIDER_EXECUTED","PASS","Bosque County Courthouse, 110, Main Street, Meridian, Bosque County, Texas, 76665, United States","31.9227883","-97.6572866","Bosque County","true","PROVIDER_CERTIFIED","PENDING"
