"original_failure_id","code","county_id","place_geoid","status","proof"
"LP24449-0001","SEARCH_NOT_FOUND","brooks-tx","4801514","FIXED","search-recertification.json|visible-search.json"
"LP24449-0002","HOME_BASELINE_WRONG_CONTEXT","nueces-tx","4803600","FIXED","nueces-baseline-replay.json"
"LP24449-0003","HOME_BASELINE_WRONG_CONTEXT","nueces-tx","4805576","FIXED","nueces-baseline-replay.json"
"LP24449-0004","HOME_BASELINE_WRONG_CONTEXT","nueces-tx","4808392","FIXED","nueces-baseline-replay.json"
"LP24449-0005","SEARCH_NOT_FOUND","hidalgo-tx","4814038","FIXED","search-recertification.json|visible-search.json"
"LP24449-0006","SEARCH_NOT_FOUND","val-verde-tx","4814927","FIXED","search-recertification.json|visible-search.json"
"LP24449-0007","SEARCH_NOT_FOUND","bastrop-tx","4814986","FIXED","search-recertification.json|visible-search.json"
"LP24449-0008","HOME_BASELINE_WRONG_CONTEXT","nueces-tx","4817000","FIXED","nueces-baseline-replay.json"
"LP24449-0009","HOME_BASELINE_WRONG_CONTEXT","nueces-tx","4821436","FIXED","nueces-baseline-replay.json"
"LP24449-0010","SEARCH_NOT_FOUND","maverick-tx","4822810","FIXED","search-recertification.json|visible-search.json"
"LP24449-0011","SEARCH_NOT_FOUND","fort-bend-tx","4825795","FIXED","search-recertification.json|visible-search.json"
"LP24449-0012","HOME_BASELINE_WRONG_CONTEXT","nueces-tx","4836008","FIXED","nueces-baseline-replay.json"
"LP24449-0013","HOME_BASELINE_WRONG_CONTEXT","nueces-tx","4841422","FIXED","nueces-baseline-replay.json"
"LP24449-0014","SEARCH_NOT_FOUND","zapata-tx","4843960","FIXED","search-recertification.json|visible-search.json"
"LP24449-0015","SEARCH_NOT_FOUND","fort-bend-tx","4847337","FIXED","search-recertification.json|visible-search.json"
"LP24449-0016","HOME_BASELINE_WRONG_CONTEXT","nueces-tx","4852404","FIXED","nueces-baseline-replay.json"
"LP24449-0017","SEARCH_NOT_FOUND","hood-tx","4853212","FIXED","search-recertification.json|visible-search.json"
"LP24449-0018","HOME_BASELINE_WRONG_CONTEXT","nueces-tx","4857056","FIXED","nueces-baseline-replay.json"
"LP24449-0019","HOME_BASELINE_WRONG_CONTEXT","nueces-tx","4858808","FIXED","nueces-baseline-replay.json"
"LP24449-0020","HOME_BASELINE_WRONG_CONTEXT","nueces-tx","4858904","FIXED","nueces-baseline-replay.json"
"LP24449-0021","HOME_BASELINE_WRONG_CONTEXT","nueces-tx","4860529","FIXED","nueces-baseline-replay.json"
"LP24449-0022","SEARCH_NOT_FOUND","cooke-tx","4862486","FIXED","search-recertification.json|visible-search.json"
"LP24449-0023","HOME_BASELINE_WRONG_CONTEXT","nueces-tx","4862600","FIXED","nueces-baseline-replay.json"
"LP24449-0024","SEARCH_NOT_FOUND","randall-tx","4862834","FIXED","search-recertification.json|visible-search.json"
"LP24449-0025","SEARCH_NOT_FOUND","bexar-tx","4864172","FIXED","search-recertification.json|visible-search.json"
