"original_failure_id","county","place_geoid","status"
"LP24449-ledger-00001","hill-tx","4800100","FIXED"
"LP24449-ledger-00002","hale-tx","4800160","FIXED"
"LP24449-ledger-00003","lubbock-tx","4800160","FIXED"
"LP24449-ledger-00004","jones-tx","4801000","FIXED"
"LP24449-ledger-00005","taylor-tx","4801000","FIXED"
"LP24449-ledger-00006","hidalgo-tx","4801060","FIXED"
"LP24449-ledger-00007","hudspeth-tx","4801084","FIXED"
"LP24449-ledger-00008","dawson-tx","4801108","FIXED"
"LP24449-ledger-00009","martin-tx","4801108","FIXED"
"LP24449-ledger-00010","dallas-tx","4801240","FIXED"
"LP24449-ledger-00011","oldham-tx","4801324","FIXED"
"LP24449-ledger-00012","webb-tx","4801420","FIXED"
"LP24449-ledger-00013","starr-tx","4801500","FIXED"
"LP24449-ledger-00015","hidalgo-tx","4801576","FIXED"
"LP24449-ledger-00016","calhoun-tx","4801594","FIXED"
"LP24449-ledger-00017","bexar-tx","4801600","FIXED"
"LP24449-ledger-00018","gray-tx","4801612","FIXED"
"LP24449-ledger-00019","rains-tx","4801636","FIXED"
"LP24449-ledger-00020","wood-tx","4801636","FIXED"
"LP24449-ledger-00021","shackelford-tx","4801648","FIXED"
"LP24449-ledger-00022","harris-tx","4801696","FIXED"
"LP24449-ledger-00023","parker-tx","4801744","FIXED"
"LP24449-ledger-00024","jim-wells-tx","4801816","FIXED"
"LP24449-ledger-00025","jim-wells-tx","4801852","FIXED"
"LP24449-ledger-00026","jim-wells-tx","4801858","FIXED"
"LP24449-ledger-00027","collin-tx","4801924","FIXED"
"LP24449-ledger-00028","wheeler-tx","4802032","FIXED"
"LP24449-ledger-00029","ellis-tx","4802044","FIXED"
"LP24449-ledger-00030","brewster-tx","4802104","FIXED"
"LP24449-ledger-00031","cherokee-tx","4802188","FIXED"
"LP24449-ledger-00032","starr-tx","4802194","FIXED"
"LP24449-ledger-00033","hidalgo-tx","4802212","FIXED"
"LP24449-ledger-00034","johnson-tx","4802260","FIXED"
"LP24449-ledger-00035","brazoria-tx","4802272","FIXED"
"LP24449-ledger-00036","wise-tx","4802284","FIXED"
"LP24449-ledger-00037","starr-tx","4802286","FIXED"
"LP24449-ledger-00038","jim-wells-tx","4802290","FIXED"
"LP24449-ledger-00039","potter-tx","4803000","FIXED"
"LP24449-ledger-00040","randall-tx","4803000","FIXED"
"LP24449-ledger-00041","zavala-tx","4803008","FIXED"
"LP24449-ledger-00042","liberty-tx","4803072","FIXED"
"LP24449-ledger-00043","lamb-tx","4803084","FIXED"
"LP24449-ledger-00044","val-verde-tx","4803096","FIXED"
"LP24449-ledger-00045","starr-tx","4803126","FIXED"
"LP24449-ledger-00046","chambers-tx","4803144","FIXED"
"LP24449-ledger-00047","grimes-tx","4803192","FIXED"
"LP24449-ledger-00048","andrews-tx","4803216","FIXED"
"LP24449-ledger-00049","brazoria-tx","4803264","FIXED"
"LP24449-ledger-00050","navarro-tx","4803288","FIXED"
"LP24449-ledger-00051","collin-tx","4803300","FIXED"
"LP24449-ledger-00052","parker-tx","4803336","FIXED"
"LP24449-ledger-00053","parker-tx","4803340","FIXED"
"LP24449-ledger-00054","parker-tx","4803342","FIXED"
"LP24449-ledger-00055","red-river-tx","4803360","FIXED"
"LP24449-ledger-00056","jones-tx","4803372","FIXED"
"LP24449-ledger-00057","el-paso-tx","4803432","FIXED"
"LP24449-ledger-00058","hockley-tx","4803540","FIXED"
"LP24449-ledger-00059","nacogdoches-tx","4803564","FIXED"
"LP24449-ledger-00060","hill-tx","4803588","FIXED"
"LP24449-ledger-00061","aransas-tx","4803600","FIXED"
"LP24449-ledger-00063","nueces-tx","4803600","FIXED"
"LP24449-ledger-00064","san-patricio-tx","4803600","FIXED"
"LP24449-ledger-00065","archer-tx","4803696","FIXED"
"LP24449-ledger-00066","fort-bend-tx","4803708","FIXED"
"LP24449-ledger-00067","denton-tx","4803768","FIXED"
"LP24449-ledger-00068","tarrant-tx","4804000","FIXED"
"LP24449-ledger-00069","smith-tx","4804156","FIXED"
"LP24449-ledger-00070","cameron-tx","4804174","FIXED"
"LP24449-ledger-00071","cameron-tx","4804176","FIXED"
"LP24449-ledger-00072","dimmit-tx","4804300","FIXED"
"LP24449-ledger-00073","stonewall-tx","4804408","FIXED"
"LP24449-ledger-00074","harris-tx","4804462","FIXED"
"LP24449-ledger-00075","henderson-tx","4804504","FIXED"
"LP24449-ledger-00076","cass-tx","4804516","FIXED"
"LP24449-ledger-00077","denton-tx","4804600","FIXED"
"LP24449-ledger-00078","wise-tx","4804672","FIXED"
"LP24449-ledger-00079","bastrop-tx","4805000","FIXED"
"LP24449-ledger-00080","hays-tx","4805000","FIXED"
"LP24449-ledger-00081","travis-tx","4805000","FIXED"
"LP24449-ledger-00082","williamson-tx","4805000","FIXED"
"LP24449-ledger-00083","refugio-tx","4805036","FIXED"
"LP24449-ledger-00084","red-river-tx","4805072","FIXED"
"LP24449-ledger-00085","cass-tx","4805084","FIXED"
"LP24449-ledger-00086","parker-tx","4805168","FIXED"
"LP24449-ledger-00087","tarrant-tx","4805168","FIXED"
"LP24449-ledger-00088","galveston-tx","4805180","FIXED"
"LP24449-ledger-00089","fannin-tx","4805264","FIXED"
"LP24449-ledger-00090","brazoria-tx","4805288","FIXED"
"LP24449-ledger-00091","callahan-tx","4805336","FIXED"
"LP24449-ledger-00092","dallas-tx","4805372","FIXED"
"LP24449-ledger-00093","bexar-tx","4805384","FIXED"
"LP24449-ledger-00094","runnels-tx","4805456","FIXED"
"LP24449-ledger-00095","reeves-tx","4805468","FIXED"
"LP24449-ledger-00096","starr-tx","4805520","FIXED"
"LP24449-ledger-00097","bandera-tx","4805528","FIXED"
"LP24449-ledger-00098","brown-tx","4805552","FIXED"
"LP24449-ledger-00100","nueces-tx","4805576","FIXED"
"LP24449-ledger-00101","ellis-tx","4805612","FIXED"
"LP24449-ledger-00102","edwards-tx","4805648","FIXED"
"LP24449-ledger-00103","starr-tx","4805690","FIXED"
"LP24449-ledger-00104","harris-tx","4805696","FIXED"
"LP24449-ledger-00105","navarro-tx","4805708","FIXED"
"LP24449-ledger-00106","ward-tx","4805720","FIXED"
"LP24449-ledger-00107","bell-tx","4805732","FIXED"
"LP24449-ledger-00108","williamson-tx","4805732","FIXED"
"LP24449-ledger-00109","travis-tx","4805750","FIXED"
"LP24449-ledger-00110","denton-tx","4805768","FIXED"
"LP24449-ledger-00111","bastrop-tx","4805864","FIXED"
"LP24449-ledger-00112","zavala-tx","4805924","FIXED"
"LP24449-ledger-00113","matagorda-tx","4805984","FIXED"
"LP24449-ledger-00114","galveston-tx","4806060","FIXED"
"LP24449-ledger-00115","refugio-tx","4806104","FIXED"
"LP24449-ledger-00116","chambers-tx","4806128","FIXED"
"LP24449-ledger-00117","harris-tx","4806128","FIXED"
"LP24449-ledger-00118","cameron-tx","4806140","FIXED"
"LP24449-ledger-00119","chambers-tx","4806200","FIXED"
"LP24449-ledger-00120","hays-tx","4806242","FIXED"
"LP24449-ledger-00121","dallas-tx","4806244","FIXED"
"LP24449-ledger-00122","fort-bend-tx","4806272","FIXED"
"LP24449-ledger-00123","jefferson-tx","4807000","FIXED"
"LP24449-ledger-00124","jefferson-tx","4807036","FIXED"
"LP24449-ledger-00125","burleson-tx","4807042","FIXED"
"LP24449-ledger-00126","panola-tx","4807108","FIXED"
"LP24449-ledger-00127","tarrant-tx","4807132","FIXED"
"LP24449-ledger-00128","grimes-tx","4807144","FIXED"
"LP24449-ledger-00129","travis-tx","4807156","FIXED"
"LP24449-ledger-00130","bee-tx","4807192","FIXED"
"LP24449-ledger-00131","harris-tx","4807300","FIXED"
