"original_failure_id","code","county","place_geoid","status","reason"
"LP24449-ledger-00001","PROVIDER_HEALTH_FALSE","hill-tx","4800100","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00002","PROVIDER_HEALTH_FALSE","hale-tx","4800160","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00003","PROVIDER_HEALTH_FALSE","lubbock-tx","4800160","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00004","PROVIDER_HEALTH_FALSE","jones-tx","4801000","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00005","PROVIDER_HEALTH_FALSE","taylor-tx","4801000","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00006","PROVIDER_HEALTH_FALSE","hidalgo-tx","4801060","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00007","PROVIDER_HEALTH_FALSE","hudspeth-tx","4801084","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00008","PROVIDER_HEALTH_FALSE","dawson-tx","4801108","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00009","PROVIDER_HEALTH_FALSE","martin-tx","4801108","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00010","PROVIDER_HEALTH_FALSE","dallas-tx","4801240","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00011","PROVIDER_HEALTH_FALSE","oldham-tx","4801324","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00012","PROVIDER_HEALTH_FALSE","webb-tx","4801420","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00013","PROVIDER_HEALTH_FALSE","starr-tx","4801500","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00015","PROVIDER_HEALTH_FALSE","hidalgo-tx","4801576","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00016","PROVIDER_HEALTH_FALSE","calhoun-tx","4801594","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00017","PROVIDER_HEALTH_FALSE","bexar-tx","4801600","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00018","PROVIDER_HEALTH_FALSE","gray-tx","4801612","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00019","PROVIDER_HEALTH_FALSE","rains-tx","4801636","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00020","PROVIDER_HEALTH_FALSE","wood-tx","4801636","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00021","PROVIDER_HEALTH_FALSE","shackelford-tx","4801648","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00022","PROVIDER_HEALTH_FALSE","harris-tx","4801696","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00023","PROVIDER_HEALTH_FALSE","parker-tx","4801744","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00024","PROVIDER_HEALTH_FALSE","jim-wells-tx","4801816","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00025","PROVIDER_HEALTH_FALSE","jim-wells-tx","4801852","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00026","PROVIDER_HEALTH_FALSE","jim-wells-tx","4801858","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00027","PROVIDER_HEALTH_FALSE","collin-tx","4801924","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00028","PROVIDER_HEALTH_FALSE","wheeler-tx","4802032","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00029","PROVIDER_HEALTH_FALSE","ellis-tx","4802044","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00030","PROVIDER_HEALTH_FALSE","brewster-tx","4802104","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00031","PROVIDER_HEALTH_FALSE","cherokee-tx","4802188","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00032","PROVIDER_HEALTH_FALSE","starr-tx","4802194","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00033","PROVIDER_HEALTH_FALSE","hidalgo-tx","4802212","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00034","PROVIDER_HEALTH_FALSE","johnson-tx","4802260","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00035","PROVIDER_HEALTH_FALSE","brazoria-tx","4802272","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00036","PROVIDER_HEALTH_FALSE","wise-tx","4802284","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00037","PROVIDER_HEALTH_FALSE","starr-tx","4802286","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00038","PROVIDER_HEALTH_FALSE","jim-wells-tx","4802290","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00039","PROVIDER_HEALTH_FALSE","potter-tx","4803000","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00040","PROVIDER_HEALTH_FALSE","randall-tx","4803000","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00041","PROVIDER_HEALTH_FALSE","zavala-tx","4803008","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00042","PROVIDER_HEALTH_FALSE","liberty-tx","4803072","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00043","PROVIDER_HEALTH_FALSE","lamb-tx","4803084","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00044","PROVIDER_HEALTH_FALSE","val-verde-tx","4803096","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00045","PROVIDER_HEALTH_FALSE","starr-tx","4803126","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00046","PROVIDER_HEALTH_FALSE","chambers-tx","4803144","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00047","PROVIDER_HEALTH_FALSE","grimes-tx","4803192","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00048","PROVIDER_HEALTH_FALSE","andrews-tx","4803216","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00049","PROVIDER_HEALTH_FALSE","brazoria-tx","4803264","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00050","PROVIDER_HEALTH_FALSE","navarro-tx","4803288","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00051","PROVIDER_HEALTH_FALSE","collin-tx","4803300","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00052","PROVIDER_HEALTH_FALSE","parker-tx","4803336","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00053","PROVIDER_HEALTH_FALSE","parker-tx","4803340","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00054","PROVIDER_HEALTH_FALSE","parker-tx","4803342","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00055","PROVIDER_HEALTH_FALSE","red-river-tx","4803360","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00056","PROVIDER_HEALTH_FALSE","jones-tx","4803372","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00057","PROVIDER_HEALTH_FALSE","el-paso-tx","4803432","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00058","PROVIDER_HEALTH_FALSE","hockley-tx","4803540","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00059","PROVIDER_HEALTH_FALSE","nacogdoches-tx","4803564","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00060","PROVIDER_HEALTH_FALSE","hill-tx","4803588","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00061","PROVIDER_HEALTH_FALSE","aransas-tx","4803600","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00063","PROVIDER_HEALTH_FALSE","nueces-tx","4803600","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00064","PROVIDER_HEALTH_FALSE","san-patricio-tx","4803600","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00065","PROVIDER_HEALTH_FALSE","archer-tx","4803696","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00066","PROVIDER_HEALTH_FALSE","fort-bend-tx","4803708","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00067","PROVIDER_HEALTH_FALSE","denton-tx","4803768","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
"LP24449-ledger-00068","PROVIDER_HEALTH_FALSE","tarrant-tx","4804000","FIXED","Current accepted membership uses the existing source authorities; unavailable plus zero is not presented as a complete quiet state."
