"county_id","place_geoid","community","local_pass","certification_status","live_provider_status"
"hill-tx","4800100","Abbott","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"hale-tx","4800160","Abernathy","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"lubbock-tx","4800160","Abernathy","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"jones-tx","4801000","Abilene","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"taylor-tx","4801000","Abilene","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"hidalgo-tx","4801060","Abram","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"hudspeth-tx","4801084","Acala","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"dawson-tx","4801108","Ackerly","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"martin-tx","4801108","Ackerly","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"dallas-tx","4801240","Addison","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"oldham-tx","4801324","Adrian","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"el-paso-tx","4801390","Agua Dulce","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"nueces-tx","4801396","Agua Dulce","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"webb-tx","4801420","Aguilares","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"starr-tx","4801500","Airport Heights","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"brooks-tx","4801514","Airport Road Addition","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"hidalgo-tx","4801576","Alamo","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"calhoun-tx","4801594","Alamo Beach","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"bexar-tx","4801600","Alamo Heights","false","FAIL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"gray-tx","4801612","Alanreed","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"rains-tx","4801636","Alba","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"wood-tx","4801636","Alba","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"shackelford-tx","4801648","Albany","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"harris-tx","4801696","Aldine","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"parker-tx","4801744","Aledo","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"jim-wells-tx","4801816","Alfred","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"jim-wells-tx","4801852","Alice","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"jim-wells-tx","4801858","Alice Acres","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"collin-tx","4801924","Allen","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"wheeler-tx","4802032","Allison","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"ellis-tx","4802044","Alma","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"brewster-tx","4802104","Alpine","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"cherokee-tx","4802188","Alto","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"starr-tx","4802194","Alto Bonito Heights","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"hidalgo-tx","4802212","Alton","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"johnson-tx","4802260","Alvarado","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"brazoria-tx","4802272","Alvin","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"wise-tx","4802284","Alvord","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"starr-tx","4802286","Amada Acres","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"jim-wells-tx","4802290","Amargosa","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"potter-tx","4803000","Amarillo","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"randall-tx","4803000","Amarillo","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"zavala-tx","4803008","Amaya","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"liberty-tx","4803072","Ames","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"lamb-tx","4803084","Amherst","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"val-verde-tx","4803096","Amistad","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"starr-tx","4803126","Anacua","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"chambers-tx","4803144","Anahuac","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"grimes-tx","4803192","Anderson","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"andrews-tx","4803216","Andrews","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"brazoria-tx","4803264","Angleton","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"navarro-tx","4803288","Angus","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"collin-tx","4803300","Anna","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"parker-tx","4803336","Annetta","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"parker-tx","4803340","Annetta North","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"parker-tx","4803342","Annetta South","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"red-river-tx","4803360","Annona","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"jones-tx","4803372","Anson","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"el-paso-tx","4803432","Anthony","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"hockley-tx","4803540","Anton","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"nacogdoches-tx","4803564","Appleby","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"hill-tx","4803588","Aquilla","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"aransas-tx","4803600","Aransas Pass","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"nueces-tx","4803600","Aransas Pass","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"san-patricio-tx","4803600","Aransas Pass","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"archer-tx","4803696","Archer City","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"fort-bend-tx","4803708","Arcola","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"denton-tx","4803768","Argyle","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"tarrant-tx","4804000","Arlington","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"smith-tx","4804156","Arp","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"cameron-tx","4804174","Arroyo Colorado Estates","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"cameron-tx","4804176","Arroyo Gardens","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"dimmit-tx","4804300","Asherton","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"stonewall-tx","4804408","Aspermont","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"harris-tx","4804462","Atascocita","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"henderson-tx","4804504","Athens","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"cass-tx","4804516","Atlanta","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"denton-tx","4804600","Aubrey","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"wise-tx","4804672","Aurora","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"bastrop-tx","4805000","Austin","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"hays-tx","4805000","Austin","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"travis-tx","4805000","Austin","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"williamson-tx","4805000","Austin","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"refugio-tx","4805036","Austwell","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"red-river-tx","4805072","Avery","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"cass-tx","4805084","Avinger","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"parker-tx","4805168","Azle","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"tarrant-tx","4805168","Azle","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"galveston-tx","4805180","Bacliff","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"fannin-tx","4805264","Bailey","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"brazoria-tx","4805288","Bailey's Prairie","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"callahan-tx","4805336","Baird","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"dallas-tx","4805372","Balch Springs","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"bexar-tx","4805384","Balcones Heights","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"runnels-tx","4805456","Ballinger","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"reeves-tx","4805468","Balmorhea","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"starr-tx","4805520","B and E","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"bandera-tx","4805528","Bandera","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"brown-tx","4805552","Bangs","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"nueces-tx","4805576","Banquete","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"ellis-tx","4805612","Bardwell","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"edwards-tx","4805648","Barksdale","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"starr-tx","4805690","Barrera","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"harris-tx","4805696","Barrett","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"navarro-tx","4805708","Barry","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"ward-tx","4805720","Barstow","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"bell-tx","4805732","Bartlett","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"williamson-tx","4805732","Bartlett","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"travis-tx","4805750","Barton Creek","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"denton-tx","4805768","Bartonville","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"bastrop-tx","4805864","Bastrop","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"zavala-tx","4805924","Batesville","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"matagorda-tx","4805984","Bay City","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"galveston-tx","4806060","Bayou Vista","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"refugio-tx","4806104","Bayside","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"chambers-tx","4806128","Baytown","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"harris-tx","4806128","Baytown","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"cameron-tx","4806140","Bayview","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"chambers-tx","4806200","Beach City","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"hays-tx","4806242","Bear Creek","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"dallas-tx","4806244","Bear Creek Ranch","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"fort-bend-tx","4806272","Beasley","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"jefferson-tx","4807000","Beaumont","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"jefferson-tx","4807036","Beauxart Gardens","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
