county_id,place_geoid,before,active,cleared,pass
anderson-tx,4823140,0,1,0,true
andrews-tx,4803216,0,1,0,true
angelina-tx,4811380,0,1,0,true
aransas-tx,4827888,0,1,0,true
archer-tx,4803696,0,1,0,true
armstrong-tx,4815196,0,1,0,true
atascosa-tx,4814404,0,1,0,true
austin-tx,4807432,0,1,0,true
bailey-tx,4849968,0,1,0,true
bandera-tx,4805528,0,1,0,true
bastrop-tx,4805864,0,1,0,true
baylor-tx,4866968,0,1,0,true
bee-tx,4807192,0,1,0,true
bell-tx,4807492,0,1,0,true
bexar-tx,4801600,0,1,0,true
blanco-tx,4808536,0,1,0,true
borden-tx,4827972,0,1,0,true
bosque-tx,4815472,0,1,0,true
bowie-tx,4819648,0,1,0,true
brazoria-tx,4802272,0,1,0,true
brazos-tx,4810912,0,1,0,true
brewster-tx,4802104,0,1,0,true
briscoe-tx,4860176,0,1,0,true
brooks-tx,4801514,0,1,0,true
brown-tx,4805552,0,1,0,true
burleson-tx,4807042,0,1,0,true
burnet-tx,4807864,0,1,0,true
caldwell-tx,4843240,0,1,0,true
calhoun-tx,4801594,0,1,0,true
callahan-tx,4805336,0,1,0,true
cameron-tx,4804174,0,1,0,true
camp-tx,4857908,0,1,0,true
carson-tx,4831292,0,1,0,true
cass-tx,4804516,0,1,0,true
castro-tx,4820464,0,1,0,true
chambers-tx,4803144,0,1,0,true
cherokee-tx,4802188,0,1,0,true
childress-tx,4814668,0,1,0,true
clay-tx,4807396,0,1,0,true
cochran-tx,4808644,0,1,0,true
coke-tx,4810528,0,1,0,true
coleman-tx,4815916,0,1,0,true
collin-tx,4801924,0,1,0,true
collingsworth-tx,4820716,0,1,0,true
colorado-tx,4816168,0,1,0,true
comal-tx,4811224,0,1,0,true
comanche-tx,4816192,0,1,0,true
concho-tx,4822552,0,1,0,true
cooke-tx,4811968,0,1,0,true
coryell-tx,4826004,0,1,0,true
cottle-tx,4854600,0,1,0,true
crane-tx,4817516,0,1,0,true
crockett-tx,4854552,0,1,0,true
crosby-tx,4817768,0,1,0,true
culberson-tx,4875032,0,1,0,true
dallam-tx,4872476,0,1,0,true
dallas-tx,4801240,0,1,0,true
dawson-tx,4841164,0,1,0,true
deaf-smith-tx,4833320,0,1,0,true
delta-tx,4816564,0,1,0,true
denton-tx,4803768,0,1,0,true
dewitt-tx,4818092,0,1,0,true
dickens-tx,4820332,0,1,0,true
dimmit-tx,4804300,0,1,0,true
donley-tx,4815112,0,1,0,true
duval-tx,4807528,0,1,0,true
eastland-tx,4812736,0,1,0,true
ector-tx,4828200,0,1,0,true
edwards-tx,4805648,0,1,0,true
ellis-tx,4802044,0,1,0,true
el-paso-tx,4801390,0,1,0,true
erath-tx,4808932,0,1,0,true
falls-tx,4814692,0,1,0,true
fannin-tx,4805264,0,1,0,true
fayette-tx,4812916,0,1,0,true
fisher-tx,4845444,0,1,0,true
floyd-tx,4826268,0,1,0,true
foard-tx,4817948,0,1,0,true
fort-bend-tx,4803708,0,1,0,true
franklin-tx,4849860,0,1,0,true
freestone-tx,4825104,0,1,0,true
frio-tx,4808164,0,1,0,true
gaines-tx,4843948,0,1,0,true
galveston-tx,4805180,0,1,0,true
garza-tx,4859012,0,1,0,true
gillespie-tx,4827348,0,1,0,true
glasscock-tx,4828176,0,1,0,true
goliad-tx,4830080,0,1,0,true
gonzales-tx,4830116,0,1,0,true
gray-tx,4801612,0,1,0,true
grayson-tx,4807420,0,1,0,true
gregg-tx,4840696,0,1,0,true
grimes-tx,4803192,0,1,0,true
guadalupe-tx,4829384,0,1,0,true
hale-tx,4822708,0,1,0,true
hall-tx,4824636,0,1,0,true
hamilton-tx,4812904,0,1,0,true
hansford-tx,4831412,0,1,0,true
hardeman-tx,4814680,0,1,0,true
hardin-tx,4839868,0,1,0,true
harris-tx,4801696,0,1,0,true
harrison-tx,4831904,0,1,0,true
hartley-tx,4814260,0,1,0,true
haskell-tx,4832696,0,1,0,true
hays-tx,4806242,0,1,0,true
hemphill-tx,4812412,0,1,0,true
henderson-tx,4804504,0,1,0,true
hidalgo-tx,4801060,0,1,0,true
hill-tx,4800100,0,1,0,true
hockley-tx,4803540,0,1,0,true
hood-tx,4812562,0,1,0,true
hopkins-tx,4816252,0,1,0,true
houston-tx,4817744,0,1,0,true
howard-tx,4808236,0,1,0,true
hudspeth-tx,4801084,0,1,0,true
hunt-tx,4811716,0,1,0,true
hutchinson-tx,4809556,0,1,0,true
irion-tx,4847832,0,1,0,true
jack-tx,4810960,0,1,0,true
jackson-tx,4822720,0,1,0,true
jasper-tx,4810708,0,1,0,true
jeff-davis-tx,4826688,0,1,0,true
jefferson-tx,4807000,0,1,0,true
jim-hogg-tx,4831484,0,1,0,true
jim-wells-tx,4801816,0,1,0,true
johnson-tx,4802260,0,1,0,true
jones-tx,4803372,0,1,0,true
karnes-tx,4825392,0,1,0,true
kaufman-tx,4817200,0,1,0,true
kendall-tx,4809160,0,1,0,true
kenedy-tx,4865876,0,1,0,true
kent-tx,4829612,0,1,0,true
kerr-tx,4813828,0,1,0,true
kimble-tx,4838248,0,1,0,true
king-tx,4831640,0,1,0,true
kinney-tx,4809868,0,1,0,true
kleberg-tx,4839352,0,1,0,true
knox-tx,4807636,0,1,0,true
lamar-tx,4808812,0,1,0,true
lamb-tx,4803084,0,1,0,true
lampasas-tx,4838800,0,1,0,true
la-salle-tx,4817216,0,1,0,true
lavaca-tx,4831868,0,1,0,true
lee-tx,4820452,0,1,0,true
leon-tx,4811116,0,1,0,true
liberty-tx,4803072,0,1,0,true
limestone-tx,4816552,0,1,0,true
lipscomb-tx,4819288,0,1,0,true
live-oak-tx,4829348,0,1,0,true
llano-tx,4810984,0,1,0,true
loving-tx,4847676,0,1,0,true
lubbock-tx,4811155,0,1,0,true
lynn-tx,4851012,0,1,0,true
mcculloch-tx,4809916,0,1,0,true
mclennan-tx,4807408,0,1,0,true
mcmullen-tx,4872992,0,1,0,true
madison-tx,4845996,0,1,0,true
marion-tx,4837528,0,1,0,true
martin-tx,4870040,0,1,0,true
mason-tx,4846968,0,1,0,true
matagorda-tx,4805984,0,1,0,true
maverick-tx,4814881,0,1,0,true
medina-tx,4813312,0,1,0,true
menard-tx,4847628,0,1,0,true
midland-tx,4848072,0,1,0,true
milam-tx,4807516,0,1,0,true
mills-tx,4830056,0,1,0,true
mitchell-tx,4816120,0,1,0,true
montague-tx,4809640,0,1,0,true
montgomery-tx,4816432,0,1,0,true
moore-tx,4811692,0,1,0,true
morris-tx,4818464,0,1,0,true
motley-tx,4847004,0,1,0,true
nacogdoches-tx,4803564,0,1,0,true
navarro-tx,4803288,0,1,0,true
newton-tx,4820212,0,1,0,true
nolan-tx,4863176,0,1,0,true
nueces-tx,4801396,0,1,0,true
ochiltree-tx,4825512,0,1,0,true
oldham-tx,4801324,0,1,0,true
orange-tx,4810252,0,1,0,true
palo-pinto-tx,4810084,0,1,0,true
panola-tx,4807108,0,1,0,true
parker-tx,4801744,0,1,0,true
parmer-tx,4809628,0,1,0,true
pecos-tx,4817408,0,1,0,true
polk-tx,4813570,0,1,0,true
potter-tx,4808398,0,1,0,true
presidio-tx,4846620,0,1,0,true
rains-tx,4822276,0,1,0,true
randall-tx,4812532,0,1,0,true
reagan-tx,4808212,0,1,0,true
real-tx,4812388,0,1,0,true
red-river-tx,4803360,0,1,0,true
reeves-tx,4805468,0,1,0,true
refugio-tx,4805036,0,1,0,true
roberts-tx,4847988,0,1,0,true
robertson-tx,4810144,0,1,0,true
rockwall-tx,4825572,0,1,0,true
runnels-tx,4805456,0,1,0,true
rusk-tx,4833212,0,1,0,true
sabine-tx,4833188,0,1,0,true
san-augustine-tx,4810384,0,1,0,true
san-jacinto-tx,4812600,0,1,0,true
san-patricio-tx,4819808,0,1,0,true
san-saba-tx,4861880,0,1,0,true
schleicher-tx,4822960,0,1,0,true
scurry-tx,4826280,0,1,0,true
shackelford-tx,4801648,0,1,0,true
shelby-tx,4813732,0,1,0,true
sherman-tx,4870544,0,1,0,true
smith-tx,4804156,0,1,0,true
somervell-tx,4829876,0,1,0,true
starr-tx,4801500,0,1,0,true
stephens-tx,4810132,0,1,0,true
sterling-tx,4870232,0,1,0,true
stonewall-tx,4804408,0,1,0,true
sutton-tx,4868756,0,1,0,true
swisher-tx,4839904,0,1,0,true
tarrant-tx,4804000,0,1,0,true
taylor-tx,4811128,0,1,0,true
terrell-tx,4865084,0,1,0,true
terry-tx,4810720,0,1,0,true
throckmorton-tx,4822840,0,1,0,true
titus-tx,4848478,0,1,0,true
tom-green-tx,4812892,0,1,0,true
travis-tx,4805750,0,1,0,true
trinity-tx,4831340,0,1,0,true
tyler-tx,4814584,0,1,0,true
upshur-tx,4808224,0,1,0,true
upton-tx,4845432,0,1,0,true
uvalde-tx,4839664,0,1,0,true
val-verde-tx,4803096,0,1,0,true
van-zandt-tx,4807708,0,1,0,true
victoria-tx,4808800,0,1,0,true
walker-tx,4835528,0,1,0,true
waller-tx,4810636,0,1,0,true
ward-tx,4805720,0,1,0,true
washington-tx,4810156,0,1,0,true
webb-tx,4801420,0,1,0,true
wharton-tx,4809232,0,1,0,true
wheeler-tx,4802032,0,1,0,true
wichita-tx,4811368,0,1,0,true
wilbarger-tx,4832552,0,1,0,true
willacy-tx,4841548,0,1,0,true
williamson-tx,4810897,0,1,0,true
wilson-tx,4826160,0,1,0,true
winkler-tx,4839004,0,1,0,true
wise-tx,4802284,0,1,0,true
wood-tx,4832816,0,1,0,true
yoakum-tx,4857968,0,1,0,true
young-tx,4830392,0,1,0,true
zapata-tx,4825348,0,1,0,true
zavala-tx,4803008,0,1,0,true
