county_id,place_geoid,pass,failed_checks
hill-tx,4800100,true,
hale-tx,4800160,true,
lubbock-tx,4800160,true,
jones-tx,4801000,true,
taylor-tx,4801000,true,
hidalgo-tx,4801060,true,
hudspeth-tx,4801084,true,
dawson-tx,4801108,true,
martin-tx,4801108,true,
dallas-tx,4801240,true,
oldham-tx,4801324,true,
el-paso-tx,4801390,true,
nueces-tx,4801396,true,
webb-tx,4801420,true,
starr-tx,4801500,true,
brooks-tx,4801514,true,
hidalgo-tx,4801576,true,
calhoun-tx,4801594,true,
bexar-tx,4801600,true,
gray-tx,4801612,true,
rains-tx,4801636,true,
wood-tx,4801636,true,
shackelford-tx,4801648,true,
harris-tx,4801696,true,
parker-tx,4801744,true,
jim-wells-tx,4801816,true,
jim-wells-tx,4801852,true,
jim-wells-tx,4801858,true,
collin-tx,4801924,true,
wheeler-tx,4802032,true,
ellis-tx,4802044,true,
brewster-tx,4802104,true,
cherokee-tx,4802188,true,
starr-tx,4802194,true,
hidalgo-tx,4802212,true,
johnson-tx,4802260,true,
brazoria-tx,4802272,true,
wise-tx,4802284,true,
starr-tx,4802286,true,
jim-wells-tx,4802290,true,
potter-tx,4803000,true,
randall-tx,4803000,true,
zavala-tx,4803008,true,
liberty-tx,4803072,true,
lamb-tx,4803084,true,
val-verde-tx,4803096,true,
starr-tx,4803126,true,
chambers-tx,4803144,true,
grimes-tx,4803192,true,
andrews-tx,4803216,true,
brazoria-tx,4803264,true,
navarro-tx,4803288,true,
collin-tx,4803300,true,
parker-tx,4803336,true,
parker-tx,4803340,true,
parker-tx,4803342,true,
red-river-tx,4803360,true,
jones-tx,4803372,true,
el-paso-tx,4803432,true,
hockley-tx,4803540,true,
nacogdoches-tx,4803564,true,
hill-tx,4803588,true,
aransas-tx,4803600,true,
nueces-tx,4803600,true,
san-patricio-tx,4803600,true,
archer-tx,4803696,true,
fort-bend-tx,4803708,true,
denton-tx,4803768,true,
tarrant-tx,4804000,true,
smith-tx,4804156,true,
cameron-tx,4804174,true,
cameron-tx,4804176,true,
dimmit-tx,4804300,true,
stonewall-tx,4804408,true,
harris-tx,4804462,true,
henderson-tx,4804504,true,
cass-tx,4804516,true,
denton-tx,4804600,true,
wise-tx,4804672,true,
bastrop-tx,4805000,true,
hays-tx,4805000,true,
travis-tx,4805000,true,
williamson-tx,4805000,true,
refugio-tx,4805036,true,
red-river-tx,4805072,true,
cass-tx,4805084,true,
parker-tx,4805168,true,
tarrant-tx,4805168,true,
galveston-tx,4805180,true,
fannin-tx,4805264,true,
brazoria-tx,4805288,true,
callahan-tx,4805336,true,
dallas-tx,4805372,true,
bexar-tx,4805384,true,
runnels-tx,4805456,true,
reeves-tx,4805468,true,
starr-tx,4805520,true,
bandera-tx,4805528,true,
brown-tx,4805552,true,
nueces-tx,4805576,true,
ellis-tx,4805612,true,
edwards-tx,4805648,true,
starr-tx,4805690,true,
harris-tx,4805696,true,
navarro-tx,4805708,true,
ward-tx,4805720,true,
bell-tx,4805732,true,
williamson-tx,4805732,true,
travis-tx,4805750,true,
denton-tx,4805768,true,
bastrop-tx,4805864,true,
zavala-tx,4805924,true,
matagorda-tx,4805984,true,
galveston-tx,4806060,true,
refugio-tx,4806104,true,
chambers-tx,4806128,true,
harris-tx,4806128,true,
cameron-tx,4806140,true,
chambers-tx,4806200,true,
hays-tx,4806242,true,
dallas-tx,4806244,true,
fort-bend-tx,4806272,true,
jefferson-tx,4807000,true,
jefferson-tx,4807036,true,
burleson-tx,4807042,true,
panola-tx,4807108,true,
tarrant-tx,4807132,true,
grimes-tx,4807144,true,
travis-tx,4807156,true,
bee-tx,4807192,true,
harris-tx,4807300,true,
clay-tx,4807396,true,
mclennan-tx,4807408,true,
grayson-tx,4807420,true,
austin-tx,4807432,true,
hays-tx,4807486,true,
bell-tx,4807492,true,
milam-tx,4807516,true,
duval-tx,4807528,true,
jim-wells-tx,4807540,true,
tarrant-tx,4807552,true,
knox-tx,4807636,true,
starr-tx,4807642,true,
van-zandt-tx,4807708,true,
henderson-tx,4807852,true,
burnet-tx,4807864,true,
mclennan-tx,4808104,true,
jefferson-tx,4808128,true,
frio-tx,4808164,true,
reagan-tx,4808212,true,
upshur-tx,4808224,true,
howard-tx,4808236,true,
liberty-tx,4808240,true,
polk-tx,4808240,true,
dimmit-tx,4808260,true,
nueces-tx,4808392,true,
potter-tx,4808398,true,
cass-tx,4808404,true,
cameron-tx,4808410,true,
coke-tx,4808488,true,
nolan-tx,4808488,true,
blanco-tx,4808536,true,
brown-tx,4808596,true,
cochran-tx,4808644,true,
matagorda-tx,4808668,true,
cass-tx,4808752,true,
navarro-tx,4808788,true,
victoria-tx,4808800,true,
lamar-tx,4808812,true,
bee-tx,4808830,true,
tarrant-tx,4808860,true,
collin-tx,4808872,true,
cameron-tx,4808908,true,
erath-tx,4808932,true,
hill-tx,4809004,true,
kendall-tx,4809160,true,
