"county","place","provider_publication","candidate_id","candidate_object","before_count","after_count","pass"
"montgomery-tx","4816432","false","","object-234","0","0","true"
"montgomery-tx","4816432","true","gridly-test-lp24448a-1790281936568-1","object-39","1","0","true"
"montague-tx","4809640","false","","object-218","0","0","true"
"montague-tx","4809640","true","gridly-test-lp24448a-1790282006977-1","object-41","1","0","true"
"bexar-tx","4801600","false","","object-250","0","0","true"
"bexar-tx","4801600","true","gridly-test-lp24448a-1790282021922-1","object-41","1","0","true"
"dallas-tx","4801240","false","","object-243","0","0","true"
"dallas-tx","4801240","true","gridly-test-lp24448a-1790282061559-1","object-35","1","0","true"
"mills-tx","4830056","false","","object-210","0","0","true"
"mills-tx","4830056","true","gridly-test-lp24448a-1790282088047-1","object-33","1","0","true"
