"county_id","place_geoid","community","local_pass","status"
"hill-tx","4800100","Abbott","true","CONDITIONAL"
"hale-tx","4800160","Abernathy","true","CONDITIONAL"
"lubbock-tx","4800160","Abernathy","true","CONDITIONAL"
"jones-tx","4801000","Abilene","true","CONDITIONAL"
"taylor-tx","4801000","Abilene","true","CONDITIONAL"
"hidalgo-tx","4801060","Abram","true","CONDITIONAL"
"hudspeth-tx","4801084","Acala","true","CONDITIONAL"
"dawson-tx","4801108","Ackerly","true","CONDITIONAL"
"martin-tx","4801108","Ackerly","true","CONDITIONAL"
"dallas-tx","4801240","Addison","true","CONDITIONAL"
"oldham-tx","4801324","Adrian","true","CONDITIONAL"
"el-paso-tx","4801390","Agua Dulce","true","CONDITIONAL"
"nueces-tx","4801396","Agua Dulce","true","CONDITIONAL"
"webb-tx","4801420","Aguilares","true","CONDITIONAL"
"starr-tx","4801500","Airport Heights","true","CONDITIONAL"
"brooks-tx","4801514","Airport Road Addition","true","CONDITIONAL"
"hidalgo-tx","4801576","Alamo","true","CONDITIONAL"
"calhoun-tx","4801594","Alamo Beach","true","CONDITIONAL"
"bexar-tx","4801600","Alamo Heights","true","CONDITIONAL"
"gray-tx","4801612","Alanreed","true","CONDITIONAL"
"rains-tx","4801636","Alba","true","CONDITIONAL"
"wood-tx","4801636","Alba","true","CONDITIONAL"
"shackelford-tx","4801648","Albany","true","CONDITIONAL"
"harris-tx","4801696","Aldine","true","CONDITIONAL"
"parker-tx","4801744","Aledo","true","CONDITIONAL"
"jim-wells-tx","4801816","Alfred","true","CONDITIONAL"
"jim-wells-tx","4801852","Alice","true","CONDITIONAL"
"jim-wells-tx","4801858","Alice Acres","true","CONDITIONAL"
"collin-tx","4801924","Allen","true","CONDITIONAL"
"wheeler-tx","4802032","Allison","true","CONDITIONAL"
"ellis-tx","4802044","Alma","true","CONDITIONAL"
"brewster-tx","4802104","Alpine","true","CONDITIONAL"
"cherokee-tx","4802188","Alto","true","CONDITIONAL"
"starr-tx","4802194","Alto Bonito Heights","true","CONDITIONAL"
"hidalgo-tx","4802212","Alton","true","CONDITIONAL"
"johnson-tx","4802260","Alvarado","true","CONDITIONAL"
"brazoria-tx","4802272","Alvin","true","CONDITIONAL"
"wise-tx","4802284","Alvord","true","CONDITIONAL"
"starr-tx","4802286","Amada Acres","true","CONDITIONAL"
"jim-wells-tx","4802290","Amargosa","true","CONDITIONAL"
"potter-tx","4803000","Amarillo","true","CONDITIONAL"
"randall-tx","4803000","Amarillo","true","CONDITIONAL"
"zavala-tx","4803008","Amaya","true","CONDITIONAL"
"liberty-tx","4803072","Ames","true","CONDITIONAL"
