statewide_count,TYPEXING,XPURPOSE,PRVCAT,POSXING,HIGHWAY_category,STREET_category,gridlyClassification
1937,Private,1,14,At Grade,PLACEHOLDER/UNKNOWN,PRIVATE,PUBLIC_ROADWAY
863,Private,1,14,At Grade,PRIVATE,PRIVATE,PUBLIC_ROADWAY
247,Private,1,14,At Grade,PLACEHOLDER/UNKNOWN,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
192,Private,1,14,At Grade,NAMED/UNSPECIFIED,PRIVATE,PUBLIC_ROADWAY
188,Private,1,14,At Grade,BLANK,PRIVATE,PUBLIC_ROADWAY
128,Private,1,20,At Grade,PRIVATE,PRIVATE,PUBLIC_ROADWAY
109,Private,1,14,At Grade,PRIVATE,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
68,Private,1,20,At Grade,BLANK,PRIVATE,PUBLIC_ROADWAY
67,Private,1,20,At Grade,PLACEHOLDER/UNKNOWN,PRIVATE,PUBLIC_ROADWAY
64,Private,1,15,At Grade,BLANK,PRIVATE,PUBLIC_ROADWAY
58,Private,1,14,At Grade,BLANK,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
48,Private,1,14,At Grade,PLACEHOLDER/UNKNOWN,PRIVATE+YARD/RAIL_ONLY,PUBLIC_ROADWAY
48,Private,1,14,RR Over,PLACEHOLDER/UNKNOWN,PRIVATE,PUBLIC_ROADWAY
47,Private,1,14,RR Over,PRIVATE,PRIVATE,PUBLIC_ROADWAY
44,Private,1,14,At Grade,NAMED/UNSPECIFIED,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
44,Private,1,14,At Grade,PLACEHOLDER/UNKNOWN,PRIVATE,PRIVATE_ROAD
38,Private,1,14,At Grade,PRIVATE,YARD/RAIL_ONLY,PUBLIC_ROADWAY
33,Private,1,14,At Grade,PLACEHOLDER/UNKNOWN,PRIVATE+FARM,PUBLIC_ROADWAY
29,Private,1,21,At Grade,PRIVATE,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
29,Private,1,21,At Grade,PRIVATE,PRIVATE,PUBLIC_ROADWAY
28,Private,1,24,At Grade,PRIVATE,PRIVATE,PUBLIC_ROADWAY
24,Private,1,20,At Grade,NAMED/UNSPECIFIED,PRIVATE,PUBLIC_ROADWAY
21,Private,1,14,At Grade,PLACEHOLDER/UNKNOWN,PRIVATE+INDUSTRIAL,PUBLIC_ROADWAY
21,Private,1,14,At Grade,PRIVATE,PRIVATE,PRIVATE_ROAD
