sequence,countyFips,countyId,community,placeGeoid,canonicalKey,multiCounty,governedMemberships,stateVectorId,coverageReasons,liveClassesCovered,roadwayState,roadwayLoader,railState,railGovernedCount,requiredDriveTexasObservation,requiredAlertsObservation,requiredOfficialRoadwayObservation,requiredMapObservation,transitionFromPrevious,transitionAssertions,ownerActions,passAssertions,failureAssertions,estimatedManualEffort,alreadyCertifiedByOwnerEvidence
1,48457,tyler-tx,Chester,4814584,place-4814584,false,"[""48457""]",SV-01,"[""Only selected representative for SV-01: single-county, ROADWAY_EXPECTED_EMPTY, generic roadway loader, ACTIVE_EMPTY"",""Geographic coverage: East Texas""]","[""DRIVETEXAS_LIVE_BROWSER_REQUIRED"",""OFFICIAL_ROADWAY_LIVE_BROWSER_REQUIRED"",""ALERTS_LIVE_BROWSER_REQUIRED"",""RAIL_LIVE_BROWSER_REQUIRED"",""SHOW_ON_MAP_LIVE_BROWSER_REQUIRED"",""STALE_OWNERSHIP_LIVE_BROWSER_REQUIRED""]",ROADWAY_EXPECTED_EMPTY,generic,ACTIVE_EMPTY,0,"Capture governed terminal source-health envelope and current-area IDs/count; accept HEALTHY_WITH_DATA or successful-fetch HEALTHY_EMPTY, never infer zero health.","Capture eligible/displayed stable ID sets, attached heading/cards, ownership, and governed empty reason when zero.",Capture source/eligible/published/rendered counts and exact existing Leaflet marker identities; dynamic zero is legitimate only with healthy source evidence.,Capture target/action classification. Manually exercise existing-marker action if a target exists; record initially visible/offscreen and focus/duplication outcome.,START; no predecessor cleanup assertion,[],"[""Harness selects canonicalKey through the highest-level production selection action and waits for settlement"",""Review captured observations; manually use Show on map only when the harness flags a map-interaction control""]","[""canonical community, active county, roadway source county, and rail source county converge"",""DriveTexas terminates truthfully as HEALTHY_WITH_DATA or governed successful-fetch HEALTHY_EMPTY"",""Alerts exact IDs/count and attached presentation reconcile, including explicit empty reason for zero"",""Official Roadway source/eligible/publication/render counts and identities reconcile"",""rail expected-empty zero or positive exact policy/Leaflet/DOM ID parity holds""]","[""any required observation is unavailable or times out (incomplete, not automatically a production defect)"",""a failed/unavailable/stale DriveTexas state is labelled healthy empty"",""any count, stable-ID, DOM attachment, source-owner, map-target, focus, or predecessor-cleanup assertion diverges""]",3-5 minutes automated observation; up to 1 minute manual only if flagged,false
2,48071,chambers-tx,Anahuac,4803144,place-4803144,false,"[""48071""]",SV-02,"[""Only selected representative for SV-02: single-county, ROADWAY_EXPECTED_EMPTY, generic roadway loader, ACTIVE_POSITIVE"",""Geographic coverage: Gulf Coast""]","[""DRIVETEXAS_LIVE_BROWSER_REQUIRED"",""OFFICIAL_ROADWAY_LIVE_BROWSER_REQUIRED"",""ALERTS_LIVE_BROWSER_REQUIRED"",""RAIL_LIVE_BROWSER_REQUIRED"",""SHOW_ON_MAP_LIVE_BROWSER_REQUIRED"",""STALE_OWNERSHIP_LIVE_BROWSER_REQUIRED""]",ROADWAY_EXPECTED_EMPTY,generic,ACTIVE_POSITIVE,15,"Capture governed terminal source-health envelope and current-area IDs/count; accept HEALTHY_WITH_DATA or successful-fetch HEALTHY_EMPTY, never infer zero health.","Capture eligible/displayed stable ID sets, attached heading/cards, ownership, and governed empty reason when zero.",Capture source/eligible/published/rendered counts and exact existing Leaflet marker identities; dynamic zero is legitimate only with healthy source evidence.,Capture target/action classification. Manually exercise existing-marker action if a target exists; record initially visible/offscreen and focus/duplication outcome.,place-4814584 (tyler-tx) -> place-4803144 (chambers-tx); single-county -> single-county,"[""selected canonical community equals current canonicalKey"",""active county equals current countyId"",""roadway source county equals current countyId"",""rail source county equals current countyId"",""no predecessor DriveTexas IDs, rail marker IDs, awareness IDs, or alert card IDs remain""]","[""Harness selects canonicalKey through the highest-level production selection action and waits for settlement"",""Review captured observations; manually use Show on map only when the harness flags a map-interaction control""]","[""canonical community, active county, roadway source county, and rail source county converge"",""DriveTexas terminates truthfully as HEALTHY_WITH_DATA or governed successful-fetch HEALTHY_EMPTY"",""Alerts exact IDs/count and attached presentation reconcile, including explicit empty reason for zero"",""Official Roadway source/eligible/publication/render counts and identities reconcile"",""rail expected-empty zero or positive exact policy/Leaflet/DOM ID parity holds"",""selected canonical community equals current canonicalKey"",""active county equals current countyId"",""roadway source county equals current countyId"",""rail source county equals current countyId"",""no predecessor DriveTexas IDs, rail marker IDs, awareness IDs, or alert card IDs remain""]","[""any required observation is unavailable or times out (incomplete, not automatically a production defect)"",""a failed/unavailable/stale DriveTexas state is labelled healthy empty"",""any count, stable-ID, DOM attachment, source-owner, map-target, focus, or predecessor-cleanup assertion diverges""]",3-5 minutes automated observation; up to 1 minute manual only if flagged,false
3,48113,dallas-tx,Addison,4801240,place-4801240,false,"[""48113""]",SV-03,"[""Only selected representative for SV-03: single-county, ROADWAY_EXPECTED_EMPTY, partitioned roadway loader, ACTIVE_POSITIVE"",""Geographic coverage: North Texas""]","[""DRIVETEXAS_LIVE_BROWSER_REQUIRED"",""OFFICIAL_ROADWAY_LIVE_BROWSER_REQUIRED"",""ALERTS_LIVE_BROWSER_REQUIRED"",""RAIL_LIVE_BROWSER_REQUIRED"",""SHOW_ON_MAP_LIVE_BROWSER_REQUIRED"",""STALE_OWNERSHIP_LIVE_BROWSER_REQUIRED""]",ROADWAY_EXPECTED_EMPTY,partitioned,ACTIVE_POSITIVE,789,"Capture governed terminal source-health envelope and current-area IDs/count; accept HEALTHY_WITH_DATA or successful-fetch HEALTHY_EMPTY, never infer zero health.","Capture eligible/displayed stable ID sets, attached heading/cards, ownership, and governed empty reason when zero.",Capture source/eligible/published/rendered counts and exact existing Leaflet marker identities; dynamic zero is legitimate only with healthy source evidence.,Capture target/action classification. Manually exercise existing-marker action if a target exists; record initially visible/offscreen and focus/duplication outcome.,place-4803144 (chambers-tx) -> place-4801240 (dallas-tx); single-county -> single-county,"[""selected canonical community equals current canonicalKey"",""active county equals current countyId"",""roadway source county equals current countyId"",""rail source county equals current countyId"",""no predecessor DriveTexas IDs, rail marker IDs, awareness IDs, or alert card IDs remain""]","[""Harness selects canonicalKey through the highest-level production selection action and waits for settlement"",""Review captured observations; manually use Show on map only when the harness flags a map-interaction control""]","[""canonical community, active county, roadway source county, and rail source county converge"",""DriveTexas terminates truthfully as HEALTHY_WITH_DATA or governed successful-fetch HEALTHY_EMPTY"",""Alerts exact IDs/count and attached presentation reconcile, including explicit empty reason for zero"",""Official Roadway source/eligible/publication/render counts and identities reconcile"",""rail expected-empty zero or positive exact policy/Leaflet/DOM ID parity holds"",""selected canonical community equals current canonicalKey"",""active county equals current countyId"",""roadway source county equals current countyId"",""rail source county equals current countyId"",""no predecessor DriveTexas IDs, rail marker IDs, awareness IDs, or alert card IDs remain""]","[""any required observation is unavailable or times out (incomplete, not automatically a production defect)"",""a failed/unavailable/stale DriveTexas state is labelled healthy empty"",""any count, stable-ID, DOM attachment, source-owner, map-target, focus, or predecessor-cleanup assertion diverges""]",3-5 minutes automated observation; up to 1 minute manual only if flagged,false
4,48291,liberty-tx,Ames,4803072,place-4803072,false,"[""48291""]",SV-04,"[""Only selected representative for SV-04: single-county, ROADWAY_EXPECTED_EMPTY, single roadway loader, ACTIVE_POSITIVE"",""Geographic coverage: East Texas""]","[""DRIVETEXAS_LIVE_BROWSER_REQUIRED"",""OFFICIAL_ROADWAY_LIVE_BROWSER_REQUIRED"",""ALERTS_LIVE_BROWSER_REQUIRED"",""RAIL_LIVE_BROWSER_REQUIRED"",""SHOW_ON_MAP_LIVE_BROWSER_REQUIRED"",""STALE_OWNERSHIP_LIVE_BROWSER_REQUIRED""]",ROADWAY_EXPECTED_EMPTY,single,ACTIVE_POSITIVE,115,"Capture governed terminal source-health envelope and current-area IDs/count; accept HEALTHY_WITH_DATA or successful-fetch HEALTHY_EMPTY, never infer zero health.","Capture eligible/displayed stable ID sets, attached heading/cards, ownership, and governed empty reason when zero.",Capture source/eligible/published/rendered counts and exact existing Leaflet marker identities; dynamic zero is legitimate only with healthy source evidence.,Capture target/action classification. Manually exercise existing-marker action if a target exists; record initially visible/offscreen and focus/duplication outcome.,place-4801240 (dallas-tx) -> place-4803072 (liberty-tx); single-county -> single-county,"[""selected canonical community equals current canonicalKey"",""active county equals current countyId"",""roadway source county equals current countyId"",""rail source county equals current countyId"",""no predecessor DriveTexas IDs, rail marker IDs, awareness IDs, or alert card IDs remain""]","[""Harness selects canonicalKey through the highest-level production selection action and waits for settlement"",""Review captured observations; manually use Show on map only when the harness flags a map-interaction control""]","[""canonical community, active county, roadway source county, and rail source county converge"",""DriveTexas terminates truthfully as HEALTHY_WITH_DATA or governed successful-fetch HEALTHY_EMPTY"",""Alerts exact IDs/count and attached presentation reconcile, including explicit empty reason for zero"",""Official Roadway source/eligible/publication/render counts and identities reconcile"",""rail expected-empty zero or positive exact policy/Leaflet/DOM ID parity holds"",""selected canonical community equals current canonicalKey"",""active county equals current countyId"",""roadway source county equals current countyId"",""rail source county equals current countyId"",""no predecessor DriveTexas IDs, rail marker IDs, awareness IDs, or alert card IDs remain""]","[""any required observation is unavailable or times out (incomplete, not automatically a production defect)"",""a failed/unavailable/stale DriveTexas state is labelled healthy empty"",""any count, stable-ID, DOM attachment, source-owner, map-target, focus, or predecessor-cleanup assertion diverges""]",3-5 minutes automated observation; up to 1 minute manual only if flagged,false
5,48171,gillespie-tx,Fredericksburg,4827348,place-4827348,false,"[""48171""]",SV-05,"[""Only selected representative for SV-05: single-county, ROADWAY_WITH_DATA, generic roadway loader, ACTIVE_EMPTY"",""Geographic coverage: Central Texas"",""Existing owner evidence closes live nonzero DriveTexas/Official Roadway/Alerts, ACTIVE_EMPTY rail, exact-marker identity, and offscreen Show on map controls""]","[""DRIVETEXAS_LIVE_BROWSER_REQUIRED"",""OFFICIAL_ROADWAY_LIVE_BROWSER_REQUIRED"",""ALERTS_LIVE_BROWSER_REQUIRED"",""RAIL_LIVE_BROWSER_REQUIRED"",""SHOW_ON_MAP_LIVE_BROWSER_REQUIRED"",""STALE_OWNERSHIP_LIVE_BROWSER_REQUIRED""]",ROADWAY_WITH_DATA,generic,ACTIVE_EMPTY,0,ALREADY_OBSERVED: HEALTHY_WITH_DATA; current-area=1; consumer envelope=1.,ALREADY_OBSERVED: published/active/displayed=1; attached heading and one attached card.,ALREADY_OBSERVED: source=eligible=rendered=1; exact existing Leaflet marker.,ALREADY_OBSERVED: initially offscreen; Show on map exposed and focused existing exact marker.,place-4803072 (liberty-tx) -> place-4827348 (gillespie-tx); single-county -> single-county,"[""selected canonical community equals current canonicalKey"",""active county equals current countyId"",""roadway source county equals current countyId"",""rail source county equals current countyId"",""no predecessor DriveTexas IDs, rail marker IDs, awareness IDs, or alert card IDs remain""]",[],"[""canonical community, active county, roadway source county, and rail source county converge"",""DriveTexas terminates truthfully as HEALTHY_WITH_DATA or governed successful-fetch HEALTHY_EMPTY"",""Alerts exact IDs/count and attached presentation reconcile, including explicit empty reason for zero"",""Official Roadway source/eligible/publication/render counts and identities reconcile"",""rail expected-empty zero or positive exact policy/Leaflet/DOM ID parity holds"",""selected canonical community equals current canonicalKey"",""active county equals current countyId"",""roadway source county equals current countyId"",""rail source county equals current countyId"",""no predecessor DriveTexas IDs, rail marker IDs, awareness IDs, or alert card IDs remain""]","[""any required observation is unavailable or times out (incomplete, not automatically a production defect)"",""a failed/unavailable/stale DriveTexas state is labelled healthy empty"",""any count, stable-ID, DOM attachment, source-owner, map-target, focus, or predecessor-cleanup assertion diverges""]",0 minutes; rely on recorded owner evidence,true
6,48229,hudspeth-tx,Acala,4801084,place-4801084,false,"[""48229""]",SV-06,"[""Only selected representative for SV-06: single-county, ROADWAY_WITH_DATA, generic roadway loader, ACTIVE_POSITIVE"",""Geographic coverage: Border""]","[""DRIVETEXAS_LIVE_BROWSER_REQUIRED"",""OFFICIAL_ROADWAY_LIVE_BROWSER_REQUIRED"",""ALERTS_LIVE_BROWSER_REQUIRED"",""RAIL_LIVE_BROWSER_REQUIRED"",""SHOW_ON_MAP_LIVE_BROWSER_REQUIRED"",""STALE_OWNERSHIP_LIVE_BROWSER_REQUIRED""]",ROADWAY_WITH_DATA,generic,ACTIVE_POSITIVE,26,"Capture governed terminal source-health envelope and current-area IDs/count; accept HEALTHY_WITH_DATA or successful-fetch HEALTHY_EMPTY, never infer zero health.","Capture eligible/displayed stable ID sets, attached heading/cards, ownership, and governed empty reason when zero.",Capture source/eligible/published/rendered counts and exact existing Leaflet marker identities; dynamic zero is legitimate only with healthy source evidence.,Capture target/action classification. Manually exercise existing-marker action if a target exists; record initially visible/offscreen and focus/duplication outcome.,place-4827348 (gillespie-tx) -> place-4801084 (hudspeth-tx); single-county -> single-county,"[""selected canonical community equals current canonicalKey"",""active county equals current countyId"",""roadway source county equals current countyId"",""rail source county equals current countyId"",""no predecessor DriveTexas IDs, rail marker IDs, awareness IDs, or alert card IDs remain""]","[""Harness selects canonicalKey through the highest-level production selection action and waits for settlement"",""Review captured observations; manually use Show on map only when the harness flags a map-interaction control""]","[""canonical community, active county, roadway source county, and rail source county converge"",""DriveTexas terminates truthfully as HEALTHY_WITH_DATA or governed successful-fetch HEALTHY_EMPTY"",""Alerts exact IDs/count and attached presentation reconcile, including explicit empty reason for zero"",""Official Roadway source/eligible/publication/render counts and identities reconcile"",""rail expected-empty zero or positive exact policy/Leaflet/DOM ID parity holds"",""selected canonical community equals current canonicalKey"",""active county equals current countyId"",""roadway source county equals current countyId"",""rail source county equals current countyId"",""no predecessor DriveTexas IDs, rail marker IDs, awareness IDs, or alert card IDs remain""]","[""any required observation is unavailable or times out (incomplete, not automatically a production defect)"",""a failed/unavailable/stale DriveTexas state is labelled healthy empty"",""any count, stable-ID, DOM attachment, source-owner, map-target, focus, or predecessor-cleanup assertion diverges""]",3-5 minutes automated observation; up to 1 minute manual only if flagged,false
7,48201,harris-tx,Aldine,4801696,place-4801696,false,"[""48201""]",SV-07,"[""Only selected representative for SV-07: single-county, ROADWAY_WITH_DATA, partitioned roadway loader, ACTIVE_POSITIVE"",""Geographic coverage: Gulf Coast""]","[""DRIVETEXAS_LIVE_BROWSER_REQUIRED"",""OFFICIAL_ROADWAY_LIVE_BROWSER_REQUIRED"",""ALERTS_LIVE_BROWSER_REQUIRED"",""RAIL_LIVE_BROWSER_REQUIRED"",""SHOW_ON_MAP_LIVE_BROWSER_REQUIRED"",""STALE_OWNERSHIP_LIVE_BROWSER_REQUIRED""]",ROADWAY_WITH_DATA,partitioned,ACTIVE_POSITIVE,1159,"Capture governed terminal source-health envelope and current-area IDs/count; accept HEALTHY_WITH_DATA or successful-fetch HEALTHY_EMPTY, never infer zero health.","Capture eligible/displayed stable ID sets, attached heading/cards, ownership, and governed empty reason when zero.",Capture source/eligible/published/rendered counts and exact existing Leaflet marker identities; dynamic zero is legitimate only with healthy source evidence.,Capture target/action classification. Manually exercise existing-marker action if a target exists; record initially visible/offscreen and focus/duplication outcome.,place-4801084 (hudspeth-tx) -> place-4801696 (harris-tx); single-county -> single-county,"[""selected canonical community equals current canonicalKey"",""active county equals current countyId"",""roadway source county equals current countyId"",""rail source county equals current countyId"",""no predecessor DriveTexas IDs, rail marker IDs, awareness IDs, or alert card IDs remain""]","[""Harness selects canonicalKey through the highest-level production selection action and waits for settlement"",""Review captured observations; manually use Show on map only when the harness flags a map-interaction control""]","[""canonical community, active county, roadway source county, and rail source county converge"",""DriveTexas terminates truthfully as HEALTHY_WITH_DATA or governed successful-fetch HEALTHY_EMPTY"",""Alerts exact IDs/count and attached presentation reconcile, including explicit empty reason for zero"",""Official Roadway source/eligible/publication/render counts and identities reconcile"",""rail expected-empty zero or positive exact policy/Leaflet/DOM ID parity holds"",""selected canonical community equals current canonicalKey"",""active county equals current countyId"",""roadway source county equals current countyId"",""rail source county equals current countyId"",""no predecessor DriveTexas IDs, rail marker IDs, awareness IDs, or alert card IDs remain""]","[""any required observation is unavailable or times out (incomplete, not automatically a production defect)"",""a failed/unavailable/stale DriveTexas state is labelled healthy empty"",""any count, stable-ID, DOM attachment, source-owner, map-target, focus, or predecessor-cleanup assertion diverges""]",3-5 minutes automated observation; up to 1 minute manual only if flagged,false
8,48407,san-jacinto-tx,Cape Royale,4812600,place-4812600,false,"[""48407""]",SV-08,"[""Only selected representative for SV-08: single-county, ROADWAY_WITH_DATA, single roadway loader, ACTIVE_POSITIVE"",""Geographic coverage: East Texas""]","[""DRIVETEXAS_LIVE_BROWSER_REQUIRED"",""OFFICIAL_ROADWAY_LIVE_BROWSER_REQUIRED"",""ALERTS_LIVE_BROWSER_REQUIRED"",""RAIL_LIVE_BROWSER_REQUIRED"",""SHOW_ON_MAP_LIVE_BROWSER_REQUIRED"",""STALE_OWNERSHIP_LIVE_BROWSER_REQUIRED""]",ROADWAY_WITH_DATA,single,ACTIVE_POSITIVE,12,"Capture governed terminal source-health envelope and current-area IDs/count; accept HEALTHY_WITH_DATA or successful-fetch HEALTHY_EMPTY, never infer zero health.","Capture eligible/displayed stable ID sets, attached heading/cards, ownership, and governed empty reason when zero.",Capture source/eligible/published/rendered counts and exact existing Leaflet marker identities; dynamic zero is legitimate only with healthy source evidence.,Capture target/action classification. Manually exercise existing-marker action if a target exists; record initially visible/offscreen and focus/duplication outcome.,place-4801696 (harris-tx) -> place-4812600 (san-jacinto-tx); single-county -> single-county,"[""selected canonical community equals current canonicalKey"",""active county equals current countyId"",""roadway source county equals current countyId"",""rail source county equals current countyId"",""no predecessor DriveTexas IDs, rail marker IDs, awareness IDs, or alert card IDs remain""]","[""Harness selects canonicalKey through the highest-level production selection action and waits for settlement"",""Review captured observations; manually use Show on map only when the harness flags a map-interaction control""]","[""canonical community, active county, roadway source county, and rail source county converge"",""DriveTexas terminates truthfully as HEALTHY_WITH_DATA or governed successful-fetch HEALTHY_EMPTY"",""Alerts exact IDs/count and attached presentation reconcile, including explicit empty reason for zero"",""Official Roadway source/eligible/publication/render counts and identities reconcile"",""rail expected-empty zero or positive exact policy/Leaflet/DOM ID parity holds"",""selected canonical community equals current canonicalKey"",""active county equals current countyId"",""roadway source county equals current countyId"",""rail source county equals current countyId"",""no predecessor DriveTexas IDs, rail marker IDs, awareness IDs, or alert card IDs remain""]","[""any required observation is unavailable or times out (incomplete, not automatically a production defect)"",""a failed/unavailable/stale DriveTexas state is labelled healthy empty"",""any count, stable-ID, DOM attachment, source-owner, map-target, focus, or predecessor-cleanup assertion diverges""]",3-5 minutes automated observation; up to 1 minute manual only if flagged,false
9,48071,chambers-tx,Baytown,4806128,place-4806128,true,"[""48071"",""48201""]",SV-09,"[""Only selected representative for SV-09: multi-county, ROADWAY_EXPECTED_EMPTY, generic roadway loader, ACTIVE_POSITIVE"",""Geographic coverage: Gulf Coast""]","[""DRIVETEXAS_LIVE_BROWSER_REQUIRED"",""OFFICIAL_ROADWAY_LIVE_BROWSER_REQUIRED"",""ALERTS_LIVE_BROWSER_REQUIRED"",""RAIL_LIVE_BROWSER_REQUIRED"",""SHOW_ON_MAP_LIVE_BROWSER_REQUIRED"",""STALE_OWNERSHIP_LIVE_BROWSER_REQUIRED""]",ROADWAY_EXPECTED_EMPTY,generic,ACTIVE_POSITIVE,15,"Capture governed terminal source-health envelope and current-area IDs/count; accept HEALTHY_WITH_DATA or successful-fetch HEALTHY_EMPTY, never infer zero health.","Capture eligible/displayed stable ID sets, attached heading/cards, ownership, and governed empty reason when zero.",Capture source/eligible/published/rendered counts and exact existing Leaflet marker identities; dynamic zero is legitimate only with healthy source evidence.,Capture target/action classification. Manually exercise existing-marker action if a target exists; record initially visible/offscreen and focus/duplication outcome.,place-4812600 (san-jacinto-tx) -> place-4806128 (chambers-tx); single-county -> multi-county,"[""selected canonical community equals current canonicalKey"",""active county equals current countyId"",""roadway source county equals current countyId"",""rail source county equals current countyId"",""no predecessor DriveTexas IDs, rail marker IDs, awareness IDs, or alert card IDs remain""]","[""Harness selects canonicalKey through the highest-level production selection action and waits for settlement"",""Review captured observations; manually use Show on map only when the harness flags a map-interaction control""]","[""canonical community, active county, roadway source county, and rail source county converge"",""DriveTexas terminates truthfully as HEALTHY_WITH_DATA or governed successful-fetch HEALTHY_EMPTY"",""Alerts exact IDs/count and attached presentation reconcile, including explicit empty reason for zero"",""Official Roadway source/eligible/publication/render counts and identities reconcile"",""rail expected-empty zero or positive exact policy/Leaflet/DOM ID parity holds"",""selected canonical community equals current canonicalKey"",""active county equals current countyId"",""roadway source county equals current countyId"",""rail source county equals current countyId"",""no predecessor DriveTexas IDs, rail marker IDs, awareness IDs, or alert card IDs remain""]","[""any required observation is unavailable or times out (incomplete, not automatically a production defect)"",""a failed/unavailable/stale DriveTexas state is labelled healthy empty"",""any count, stable-ID, DOM attachment, source-owner, map-target, focus, or predecessor-cleanup assertion diverges""]",3-5 minutes automated observation; up to 1 minute manual only if flagged,false
10,48029,bexar-tx,Cibolo,4814920,place-4814920,true,"[""48029"",""48187""]",SV-10,"[""Only selected representative for SV-10: multi-county, ROADWAY_EXPECTED_EMPTY, partitioned roadway loader, ACTIVE_POSITIVE"",""Geographic coverage: South Texas""]","[""DRIVETEXAS_LIVE_BROWSER_REQUIRED"",""OFFICIAL_ROADWAY_LIVE_BROWSER_REQUIRED"",""ALERTS_LIVE_BROWSER_REQUIRED"",""RAIL_LIVE_BROWSER_REQUIRED"",""SHOW_ON_MAP_LIVE_BROWSER_REQUIRED"",""STALE_OWNERSHIP_LIVE_BROWSER_REQUIRED""]",ROADWAY_EXPECTED_EMPTY,partitioned,ACTIVE_POSITIVE,380,"Capture governed terminal source-health envelope and current-area IDs/count; accept HEALTHY_WITH_DATA or successful-fetch HEALTHY_EMPTY, never infer zero health.","Capture eligible/displayed stable ID sets, attached heading/cards, ownership, and governed empty reason when zero.",Capture source/eligible/published/rendered counts and exact existing Leaflet marker identities; dynamic zero is legitimate only with healthy source evidence.,Capture target/action classification. Manually exercise existing-marker action if a target exists; record initially visible/offscreen and focus/duplication outcome.,place-4806128 (chambers-tx) -> place-4814920 (bexar-tx); multi-county -> multi-county,"[""selected canonical community equals current canonicalKey"",""active county equals current countyId"",""roadway source county equals current countyId"",""rail source county equals current countyId"",""no predecessor DriveTexas IDs, rail marker IDs, awareness IDs, or alert card IDs remain""]","[""Harness selects canonicalKey through the highest-level production selection action and waits for settlement"",""Review captured observations; manually use Show on map only when the harness flags a map-interaction control""]","[""canonical community, active county, roadway source county, and rail source county converge"",""DriveTexas terminates truthfully as HEALTHY_WITH_DATA or governed successful-fetch HEALTHY_EMPTY"",""Alerts exact IDs/count and attached presentation reconcile, including explicit empty reason for zero"",""Official Roadway source/eligible/publication/render counts and identities reconcile"",""rail expected-empty zero or positive exact policy/Leaflet/DOM ID parity holds"",""selected canonical community equals current canonicalKey"",""active county equals current countyId"",""roadway source county equals current countyId"",""rail source county equals current countyId"",""no predecessor DriveTexas IDs, rail marker IDs, awareness IDs, or alert card IDs remain""]","[""any required observation is unavailable or times out (incomplete, not automatically a production defect)"",""a failed/unavailable/stale DriveTexas state is labelled healthy empty"",""any count, stable-ID, DOM attachment, source-owner, map-target, focus, or predecessor-cleanup assertion diverges""]",3-5 minutes automated observation; up to 1 minute manual only if flagged,false
